"Region";"Species";"speciesKey";"Realm";"Source";"FirstRecord"
"East China Sea";"Phytophthora infestans";3203716;"marine";"APASD";1900
"Celtic Seas";"Conopeum seurati";1007737;"marine";"AquaNIS (2020)";1994
"Celtic Seas";"Schizoporella unicornis";1010076;"marine";"AquaNIS (2020)";2000
"North Sea";"Schizoporella unicornis";1010076;"marine";"AquaNIS (2020)";2000
"North Sea";"Eusarsiella zostericola";1030608;"marine";"AquaNIS (2020)";1870
"North and East Barents Sea";"Acartia clausi";2114445;"marine";"AquaNIS (2020)";1981
"Northern Norway and Finnmark";"Acartia clausi";2114445;"marine";"AquaNIS (2020)";1981
"Celtic Seas";"Acartia tonsa";2114446;"marine";"AquaNIS (2020)";1927
"North Sea";"Acartia tonsa";2114446;"marine";"AquaNIS (2020)";1914
"Levantine Sea";"Balanus trigonus";2115724;"marine";"AquaNIS (2020)";1970
"Celtic Seas";"Austrominius modestus";2115769;"marine";"AquaNIS (2020)";1942
"North Sea";"Austrominius modestus";2115769;"marine";"AquaNIS (2020)";1942
"Celtic Seas";"Crassicorophium crassicorne";2217347;"marine";"AquaNIS (2020)";1995
"North Sea";"Crassicorophium crassicorne";2217347;"marine";"AquaNIS (2020)";1995
"Celtic Seas";"Monocorophium insidiosum";2217353;"marine";"AquaNIS (2020)";1997
"North Sea";"Monocorophium insidiosum";2217353;"marine";"AquaNIS (2020)";1997
"Celtic Seas";"Monocorophium acherusicum";2217354;"marine";"AquaNIS (2020)";1956
"North Sea";"Monocorophium acherusicum";2217354;"marine";"AquaNIS (2020)";1956
"Baltic Sea";"Palaemon elegans";2224979;"marine";"AquaNIS (2020)";1995
"North Sea";"Palaemon elegans";2224979;"marine";"AquaNIS (2020)";1995
"North Sea";"Hemigrapsus penicillatus";2225770;"marine";"AquaNIS (2020)";2010
"North Sea";"Hemigrapsus sanguineus";2225772;"marine";"AquaNIS (2020)";1999
"Baltic Sea";"Eriocheir sinensis";2225776;"marine";"AquaNIS (2020)";1931
"North Sea";"Goneplax rhomboides";2227571;"marine";"AquaNIS (2020)";2008
"Baltic Sea";"Rhithropanopeus harrisii";2227663;"marine";"AquaNIS (2020)";1936
"Sea of Japan/East Sea";"Pleopis polyphemoides";2234647;"marine";"AquaNIS (2020)";1957
"Celtic Seas";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1947
"North Sea";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1947
"South European Atlantic Shelf";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1959
"Western Mediterranean";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1959
"Gulf of Maine/Bay of Fundy";"Halichondria panicea";2249942;"marine";"AquaNIS (2020)";2012
"Northern California";"Halichondria panicea";2249942;"marine";"AquaNIS (2020)";2012
"Virginian";"Halichondria panicea";2249942;"marine";"AquaNIS (2020)";2012
"Celtic Seas";"Diadumene cincta";2257924;"marine";"AquaNIS (2020)";1925
"North Sea";"Diadumene cincta";2257924;"marine";"AquaNIS (2020)";1925
"North Sea";"Mytilus galloprovincialis";2285683;"marine";"AquaNIS (2020)";1924
"Western Mediterranean";"Mytilus galloprovincialis";2285683;"marine";"AquaNIS (2020)";2003
"North Sea";"Petricolaria pholadiformis";2287615;"marine";"AquaNIS (2020)";1972
"Celtic Seas";"Haliotis tuberculata";2293076;"marine";"AquaNIS (2020)";1976
"Celtic Seas";"Calyptraea chinensis";2301629;"marine";"AquaNIS (2020)";1956
"Western Mediterranean";"Stramonita haemastoma";2304357;"marine";"AquaNIS (2020)";2018
"North Sea";"Syllidia armata";2308987;"marine";"AquaNIS (2020)";1943
"Celtic Seas";"Proceraea cornuta";2309924;"marine";"AquaNIS (2020)";1929
"North Sea";"Proceraea cornuta";2309924;"marine";"AquaNIS (2020)";1929
"North Sea";"Alitta succinea";2315382;"marine";"AquaNIS (2020)";1940
"North Sea";"Alitta virens";2315395;"marine";"AquaNIS (2020)";1903
"Baltic Sea";"Hediste diversicolor";2316416;"marine";"AquaNIS (2020)";1944
"Celtic Seas";"Goniadella gracilis";2316488;"marine";"AquaNIS (2020)";1982
"North Sea";"Goniadella gracilis";2316488;"marine";"AquaNIS (2020)";1982
"South European Atlantic Shelf";"Goniadella gracilis";2316488;"marine";"AquaNIS (2020)";1982
"Western Mediterranean";"Notomastus aberans";2318080;"marine";"AquaNIS (2020)";1977
"Baltic Sea";"Marenzelleria arctia";2321011;"marine";"AquaNIS (2020)";2009
"North Sea";"Marenzelleria viridis";2321012;"marine";"AquaNIS (2020)";1982
"North Sea";"Marphysa sanguinea";2322248;"marine";"AquaNIS (2020)";1990
"Celtic Seas";"Aphelochaeta marioni";2323931;"marine";"AquaNIS (2020)";1997
"North Sea";"Aphelochaeta marioni";2323931;"marine";"AquaNIS (2020)";1997
"North Sea";"Tharyx killariensis";2324159;"marine";"AquaNIS (2020)";2012
"Western Mediterranean";"Pista unibranchia";2324609;"marine";"AquaNIS (2020)";1981
"Celtic Seas";"Loimia medusa";2325250;"marine";"AquaNIS (2020)";2000
"Celtic Seas";"Diplocirrus stopbowitzi";2325545;"marine";"AquaNIS (2020)";2009
"North Sea";"Hydroides elegans";2328302;"marine";"AquaNIS (2020)";1937
"Northeastern New Zealand";"Sabella spallanzanii";2328603;"marine";"AquaNIS (2020)";2008
"Gulf of Maine/Bay of Fundy";"Ciona intestinalis";2329622;"marine";"AquaNIS (2020)";1859
"Celtic Seas";"Aplidium glabrum";2330928;"marine";"AquaNIS (2020)";2010
"Celtic Seas";"Molgula manhattensis";2331498;"marine";"AquaNIS (2020)";1995
"North Sea";"Molgula manhattensis";2331498;"marine";"AquaNIS (2020)";1973
"Celtic Seas";"Beryx splendens";2356612;"marine";"AquaNIS (2020)";1992
"Baltic Sea";"Neogobius melanostomus";2379089;"marine";"AquaNIS (2020)";2004
"North Sea";"Neogobius melanostomus";2379089;"marine";"AquaNIS (2020)";2008
"Aegean Sea";"Serranus hepatus";2388724;"marine";"AquaNIS (2020)";2012
"Levantine Sea";"Serranus hepatus";2388724;"marine";"AquaNIS (2020)";2012
"Aegean Sea";"Sparus aurata";2392508;"marine";"AquaNIS (2020)";1942
"North Sea";"Mnemiopsis leidyi";2501248;"marine";"AquaNIS (2020)";2004
"North and East Barents Sea";"Pseudo-nitzschia seriata";2628775;"marine";"AquaNIS (2020)";1990
"Northern Norway and Finnmark";"Pseudo-nitzschia seriata";2628775;"marine";"AquaNIS (2020)";1990
"Oyashio Current";"Pseudo-nitzschia seriata";2628775;"marine";"AquaNIS (2020)";1990
"Sea of Japan/East Sea";"Pseudo-nitzschia seriata";2628775;"marine";"AquaNIS (2020)";1990
"White Sea";"Pseudo-nitzschia seriata";2628775;"marine";"AquaNIS (2020)";1990
"Celtic Seas";"Griffithsia corallinoides";2657564;"marine";"AquaNIS (2020)";1954
"North Sea";"Griffithsia corallinoides";2657564;"marine";"AquaNIS (2020)";1954
"Celtic Seas";"Antithamnionella spirographidis";2657651;"marine";"AquaNIS (2020)";1969
"South European Atlantic Shelf";"Laurencia dendroidea";2661140;"marine";"AquaNIS (2020)";2007
"Celtic Seas";"Radicilingua thysanorhizans";2661807;"marine";"AquaNIS (2020)";1969
"North Sea";"Radicilingua thysanorhizans";2661807;"marine";"AquaNIS (2020)";1969
"Celtic Seas";"Rhodophysema georgei";2668465;"marine";"AquaNIS (2020)";1978
"North Sea";"Bonnemaisonia hamifera";2668884;"marine";"AquaNIS (2020)";1900
"South European Atlantic Shelf";"Bonnemaisonia hamifera";2668884;"marine";"AquaNIS (2020)";1989
"Black Sea";"Pterosperma cristatum";2688129;"marine";"AquaNIS (2020)";1970
"Eastern Bering Sea";"Asterionellopsis glacialis";3192610;"marine";"AquaNIS (2020)";1998
"North and East Barents Sea";"Asterionellopsis glacialis";3192610;"marine";"AquaNIS (2020)";1998
"North Sea";"Bacteriastrum hyalinum";3192919;"marine";"AquaNIS (2020)";1983
"South European Atlantic Shelf";"Chaetoceros peruvianus";3193042;"marine";"AquaNIS (2020)";1964
"North Sea";"Attheya armatus";3193080;"marine";"AquaNIS (2020)";2000
"Celtic Seas";"Heterosigma akashiwo";3194420;"marine";"AquaNIS (2020)";1990
"North and East Barents Sea";"Heterosigma akashiwo";3194420;"marine";"AquaNIS (2020)";1964
"North Sea";"Heterosigma akashiwo";3194420;"marine";"AquaNIS (2020)";1964
"South European Atlantic Shelf";"Heterosigma akashiwo";3194420;"marine";"AquaNIS (2020)";1990
"Western Mediterranean";"Heterosigma akashiwo";3194420;"marine";"AquaNIS (2020)";1990
"Celtic Seas";"Fucus spiralis";3196369;"marine";"AquaNIS (2020)";1987
"North Sea";"Fucus spiralis";3196369;"marine";"AquaNIS (2020)";1987
"South European Atlantic Shelf";"Fucus spiralis";3196369;"marine";"AquaNIS (2020)";1960
"Northern Norway and Finnmark";"Fucus evanescens";3196387;"marine";"AquaNIS (2020)";1898
"Celtic Seas";"Sargassum muticum";3197314;"marine";"AquaNIS (2020)";1975
"North Sea";"Sargassum muticum";3197314;"marine";"AquaNIS (2020)";1975
"North Sea";"Sphaerotrichia divaricata";3199116;"marine";"AquaNIS (2020)";1981
"North Sea";"Punctaria tenuissima";3199244;"marine";"AquaNIS (2020)";1970
"Celtic Seas";"Pylaiella littoralis";3199757;"marine";"AquaNIS (2020)";1964
"North Sea";"Pylaiella littoralis";3199757;"marine";"AquaNIS (2020)";1964
"Black Sea";"Hillea fusiformis";3202412;"marine";"AquaNIS (2020)";1991
"North and East Barents Sea";"Hillea fusiformis";3202412;"marine";"AquaNIS (2020)";2001
"White Sea";"Hillea fusiformis";3202412;"marine";"AquaNIS (2020)";2001
"Levantine Sea";"Alexandrium minutum";3205121;"marine";"AquaNIS (2020)";2003
"North and East Barents Sea";"Alexandrium minutum";3205121;"marine";"AquaNIS (2020)";2000
"North Sea";"Alexandrium minutum";3205121;"marine";"AquaNIS (2020)";1998
"Northern Norway and Finnmark";"Alexandrium minutum";3205121;"marine";"AquaNIS (2020)";2000
"Ionian Sea";"Ostreopsis ovata";3206034;"marine";"AquaNIS (2020)";2003
"North Sea";"Chaetoceros lorenzianus";4275413;"marine";"AquaNIS (2020)";2009
"Celtic Seas";"Crassicorophium bonellii";4314679;"marine";"AquaNIS (2020)";1995
"North Sea";"Crassicorophium bonellii";4314679;"marine";"AquaNIS (2020)";1995
"Celtic Seas";"Monocorophium sextonae";4314702;"marine";"AquaNIS (2020)";1930
"North Sea";"Monocorophium sextonae";4314702;"marine";"AquaNIS (2020)";1930
"South European Atlantic Shelf";"Monocorophium sextonae";4314702;"marine";"AquaNIS (2020)";1936
"Black Sea";"Archesola typhlops";4321410;"marine";"AquaNIS (2020)";2007
"North Sea";"Phyllodicola petiti";4324251;"marine";"AquaNIS (2020)";1989
"Celtic Seas";"Botrylloides leachii";4354950;"marine";"AquaNIS (2020)";1995
"North Sea";"Botrylloides leachii";4354950;"marine";"AquaNIS (2020)";1995
"Western Mediterranean";"Bolinus brandaris";4366020;"marine";"AquaNIS (2020)";2007
"Western Mediterranean";"Hexaplex trunculus";4366460;"marine";"AquaNIS (2020)";1996
"Western Mediterranean";"Chama gryphoides";4372053;"marine";"AquaNIS (2020)";2003
"Celtic Seas";"Ruditapes philippinarum";4372686;"marine";"AquaNIS (2020)";1980
"North Sea";"Ruditapes philippinarum";4372686;"marine";"AquaNIS (2020)";1980
"South European Atlantic Shelf";"Asthenognathus atlanticus";4382428;"marine";"AquaNIS (2020)";2008
"North Sea";"Hemigrapsus takanoi";4382841;"marine";"AquaNIS (2020)";2011
"South European Atlantic Shelf";"Bugula neritina";4984851;"marine";"AquaNIS (2020)";2001
"North Sea";"Ammothea hilgendorfi";5166760;"marine";"AquaNIS (2020)";2013
"North Sea";"Limnoria lignorum";5175946;"marine";"AquaNIS (2020)";1886
"North Sea";"Haliclona cinerea";5182166;"marine";"AquaNIS (2020)";1951
"Western Mediterranean";"Oculina patagonica";5184825;"marine";"AquaNIS (2020)";1972
"Adriatic Sea";"Aurelia solida";5185429;"marine";"AquaNIS (2020)";2013
"Celtic Seas";"Crepidula fornicata";5192789;"marine";"AquaNIS (2020)";1872
"North Sea";"Crepidula fornicata";5192789;"marine";"AquaNIS (2020)";1872
"South European Atlantic Shelf";"Crepidula fornicata";5192789;"marine";"AquaNIS (2020)";1934
"North Sea";"Syllis gracilis";5194622;"marine";"AquaNIS (2020)";1940
"North Sea";"Clymenella torquata";5197206;"marine";"AquaNIS (2020)";1936
"Baltic Sea";"Polydora cornuta";5197747;"marine";"AquaNIS (2020)";2009
"North Sea";"Polydora cornuta";5197747;"marine";"AquaNIS (2020)";2017
"Western Mediterranean";"Polydora cornuta";5197747;"marine";"AquaNIS (2020)";1996
"North Sea";"Sabellaria spinulosa";5199282;"marine";"AquaNIS (2020)";1938
"Celtic Seas";"Diplosoma listerianum";5200414;"marine";"AquaNIS (2020)";1977
"North Sea";"Diplosoma listerianum";5200414;"marine";"AquaNIS (2020)";1977
"South European Atlantic Shelf";"Diplosoma listerianum";5200414;"marine";"AquaNIS (2020)";1977
"Western Mediterranean";"Diplosoma listerianum";5200414;"marine";"AquaNIS (2020)";1977
"Celtic Seas";"Corella eumyota";5200463;"marine";"AquaNIS (2020)";2002
"Celtic Seas";"Ascidiella aspersa";5200467;"marine";"AquaNIS (2020)";1994
"North Sea";"Ascidiella aspersa";5200467;"marine";"AquaNIS (2020)";1994
"Celtic Seas";"Ascidiella scabra";5200468;"marine";"AquaNIS (2020)";1994
"North Sea";"Ascidiella scabra";5200468;"marine";"AquaNIS (2020)";1994
"Celtic Seas";"Perophora japonica";5200487;"marine";"AquaNIS (2020)";2012
"Celtic Seas";"Botryllus schlosseri";5200757;"marine";"AquaNIS (2020)";1995
"North Sea";"Botryllus schlosseri";5200757;"marine";"AquaNIS (2020)";1995
"Gulf of Maine/Bay of Fundy";"Codium fragile";5272096;"marine";"AquaNIS (2020)";1989
"North American Pacific Fijordland";"Codium fragile";5272096;"marine";"AquaNIS (2020)";1989
"Oregon, Washington, Vancouver Coast and Shelf";"Codium fragile";5272096;"marine";"AquaNIS (2020)";1989
"Celtic Seas";"Ulva lactuca";5273309;"marine";"AquaNIS (2020)";1993
"North Sea";"Ulva lactuca";5273309;"marine";"AquaNIS (2020)";1993
"South European Atlantic Shelf";"Ulva lactuca";5273309;"marine";"AquaNIS (2020)";1993
"Western Mediterranean";"Ulva lactuca";5273309;"marine";"AquaNIS (2020)";1993
"North Sea";"Porphyra umbilicalis";5275705;"marine";"AquaNIS (2020)";1989
"North Sea";"Ceramium botryocarpum";5276826;"marine";"AquaNIS (2020)";2011
"North Sea";"Ceramium tenuicorne";5277182;"marine";"AquaNIS (2020)";2011
"Celtic Seas";"Polysiphonia atlantica";5277654;"marine";"AquaNIS (2020)";1984
"North Sea";"Polysiphonia atlantica";5277654;"marine";"AquaNIS (2020)";1984
"Celtic Seas";"Polysiphonia fucoides";5277736;"marine";"AquaNIS (2020)";1988
"North Sea";"Polysiphonia fucoides";5277736;"marine";"AquaNIS (2020)";1988
"North Sea";"Sphaerococcus coronopifolius";5279276;"marine";"AquaNIS (2020)";1994
"Celtic Seas";"Chondria coerulescens";5279755;"marine";"AquaNIS (2020)";1993
"North Sea";"Chondria coerulescens";5279755;"marine";"AquaNIS (2020)";1993
"Celtic Seas";"Coscinodiscus wailesii";5421557;"marine";"AquaNIS (2020)";1976
"North Sea";"Coscinodiscus wailesii";5421557;"marine";"AquaNIS (2020)";1976
"South European Atlantic Shelf";"Coscinodiscus wailesii";5421557;"marine";"AquaNIS (2020)";1976
"Southern Norway";"Coscinodiscus wailesii";5421557;"marine";"AquaNIS (2020)";1979
"North Sea";"Odontella sinensis";5421668;"marine";"AquaNIS (2020)";1903
"Southern Norway";"Odontella sinensis";5421668;"marine";"AquaNIS (2020)";1903
"North Sea";"Odontella regia";5421670;"marine";"AquaNIS (2020)";1989
"North Sea";"Rhizosolenia indica";5421938;"marine";"AquaNIS (2020)";1990
"Black Sea";"Rhizosolenia calcar-avis";5421948;"marine";"AquaNIS (2020)";1903
"Oyashio Current";"Rhizosolenia calcar-avis";5421948;"marine";"AquaNIS (2020)";1926
"Sea of Japan/East Sea";"Rhizosolenia calcar-avis";5421948;"marine";"AquaNIS (2020)";1926
"Celtic Seas";"Undaria pinnatifida";5422556;"marine";"AquaNIS (2020)";2012
"North Sea";"Dictyota dichotoma";5423480;"marine";"AquaNIS (2020)";1925
"North Sea";"Emiliania huxleyi";5423960;"marine";"AquaNIS (2020)";2004
"Western Mediterranean";"Gibbula ardens";5724049;"marine";"AquaNIS (2020)";2010
"Western Mediterranean";"Bivetiella cancellata";5725688;"marine";"AquaNIS (2020)";1999
"South European Atlantic Shelf";"Eriphia verrucosa";5968755;"marine";"AquaNIS (2020)";1968
"Western Mediterranean";"Eriphia verrucosa";5968755;"marine";"AquaNIS (2020)";1968
"North Sea";"Homarus americanus";5972004;"marine";"AquaNIS (2020)";2010
"Baltic Sea";"Amphibalanus improvisus";6467647;"marine";"AquaNIS (2020)";1844
"North Sea";"Amphibalanus improvisus";6467647;"marine";"AquaNIS (2020)";1802
"North Sea";"Halisarca dujardinii";6485909;"marine";"AquaNIS (2020)";2005
"Aegean Sea";"Conomurex persicus";6489949;"marine";"AquaNIS (2020)";1983
"Levantine Sea";"Conomurex persicus";6489949;"marine";"AquaNIS (2020)";1983
"North and East Barents Sea";"Cochlodinium polykrikoides";7348337;"marine";"AquaNIS (2020)";2000
"Sea of Japan/East Sea";"Cochlodinium polykrikoides";7348337;"marine";"AquaNIS (2020)";2000
"North and East Barents Sea";"Gymnodinium aureolum";7387168;"marine";"AquaNIS (2020)";1966
"North Sea";"Gymnodinium aureolum";7387168;"marine";"AquaNIS (2020)";1966
"Northern Norway and Finnmark";"Gymnodinium aureolum";7387168;"marine";"AquaNIS (2020)";1966
"Western Mediterranean";"Gymnodinium aureolum";7387168;"marine";"AquaNIS (2020)";1976
"North Sea";"Prorocentrum gracile";7432991;"marine";"AquaNIS (2020)";2008
"North Sea";"Prorocentrum sigmoides";7432991;"marine";"AquaNIS (2020)";2008
"Celtic Seas";"Amathia gracilis";7552441;"marine";"AquaNIS (2020)";1968
"North Sea";"Amathia gracilis";7552441;"marine";"AquaNIS (2020)";1968
"Celtic Seas";"Leathesia marina";7627628;"marine";"AquaNIS (2020)";1905
"North Sea";"Leathesia marina";7627628;"marine";"AquaNIS (2020)";1905
"Eastern Bering Sea";"Alexandrium tamarense";7632200;"marine";"AquaNIS (2020)";2004
"North and East Barents Sea";"Alexandrium tamarense";7632200;"marine";"AquaNIS (2020)";2004
"Northern Norway and Finnmark";"Alexandrium tamarense";7632200;"marine";"AquaNIS (2020)";2004
"White Sea";"Alexandrium tamarense";7632200;"marine";"AquaNIS (2020)";2004
"North Sea";"Trieres mobiliensis";7644219;"marine";"AquaNIS (2020)";1983
"North and East Barents Sea";"Protoperidinium minutum";7650881;"marine";"AquaNIS (2020)";2001
"Northern Norway and Finnmark";"Protoperidinium minutum";7650881;"marine";"AquaNIS (2020)";2001
"Celtic Seas";"Dasysiphonia japonica";7682935;"marine";"AquaNIS (2020)";1984
"North Sea";"Dasysiphonia japonica";7682935;"marine";"AquaNIS (2020)";1984
"Gulf of Maine/Bay of Fundy";"Didemnum vexillum";7707408;"marine";"AquaNIS (2020)";2013
"Oyashio Current";"Thalassiothrix mediterranea";7725823;"marine";"AquaNIS (2020)";2005
"Sea of Japan/East Sea";"Thalassiothrix mediterranea";7725823;"marine";"AquaNIS (2020)";2005
"Celtic Seas";"Magallana gigas";7820753;"marine";"AquaNIS (2020)";1866
"North Sea";"Magallana gigas";7820753;"marine";"AquaNIS (2020)";1866
"North Sea";"Alexandrium ostenfeldii";7910173;"marine";"AquaNIS (2020)";1986
"Northern Norway and Finnmark";"Alexandrium ostenfeldii";7910173;"marine";"AquaNIS (2020)";2004
"North Sea";"Tripos arietinus";7921839;"marine";"AquaNIS (2020)";1992
"North Sea";"Peridiniella danica";8108244;"marine";"AquaNIS (2020)";1983
"North Sea";"Tripos macroceros";8158209;"marine";"AquaNIS (2020)";1983
"North Sea";"Akashiwo sanguinea";8187634;"marine";"AquaNIS (2020)";1983
"North Sea";"Prorocentrum triestinum";8240249;"marine";"AquaNIS (2020)";1961
"North and East Barents Sea";"Nitzschia pungens";8244649;"marine";"AquaNIS (2020)";2000
"Oyashio Current";"Nitzschia pungens";8244649;"marine";"AquaNIS (2020)";2000
"Sea of Japan/East Sea";"Nitzschia pungens";8244649;"marine";"AquaNIS (2020)";2000
"Sea of Okhotsk";"Nitzschia pungens";8244649;"marine";"AquaNIS (2020)";2000
"White Sea";"Nitzschia pungens";8244649;"marine";"AquaNIS (2020)";2000
"North Sea";"Peridiniella catenata";8270004;"marine";"AquaNIS (2020)";1983
"Black Sea";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1948
"North and East Barents Sea";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1948
"North Sea";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1979
"Northern Norway and Finnmark";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1948
"Sea of Japan/East Sea";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1948
"South European Atlantic Shelf";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1984
"Southern Norway";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1979
"Western Mediterranean";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1984
"White Sea";"Prorocentrum cordatum";8368630;"marine";"AquaNIS (2020)";1948
"Celtic Seas";"Hesperibalanus fallax";8412690;"marine";"AquaNIS (2020)";1976
"Celtic Seas";"Bugulina stolonifera";8428595;"marine";"AquaNIS (2020)";1959
"Western Mediterranean";"Tritia mutabilis";8514118;"marine";"AquaNIS (2020)";2006
"North Sea";"Prorocentrum lima";8816835;"marine";"AquaNIS (2020)";1989
"Aegean Sea";"Phaeocystis pouchetii";9150298;"marine";"AquaNIS (2020)";1983
"North and East Barents Sea";"Phaeocystis pouchetii";9150298;"marine";"AquaNIS (2020)";2006
"Northern Norway and Finnmark";"Phaeocystis pouchetii";9150298;"marine";"AquaNIS (2020)";2006
"White Sea";"Phaeocystis pouchetii";9150298;"marine";"AquaNIS (2020)";2006
"North Sea";"Thalassiosira punctigera";9355965;"marine";"AquaNIS (2020)";1978
"Baltic Sea";"Claviceps purpurea";9378152;"marine";"AquaNIS (2020)";2001
"North Sea";"Claviceps purpurea";9378152;"marine";"AquaNIS (2020)";1999
"North Sea";"Necora puber";9736038;"marine";"AquaNIS (2020)";2007
"North Sea";"Melanothamnus harveyi";9738520;"marine";"AquaNIS (2020)";1832
"Celtic Seas";"Sternaspis scutata";9795553;"marine";"AquaNIS (2020)";1986
"North Sea";"Branchiomma bombyx";9817665;"marine";"AquaNIS (2020)";1973
"Black Sea";"Octactis speculum";10478115;"marine";"AquaNIS (2020)";1979
"Central Kuroshio Current";"Pyromaia tuberculata";2226702;"marine";"ASJ";1963
"Southern China";"Lates calcarifer";2393172;"marine";"Bangxi et al. (2003)";1983
"Cape Howe";"Balanus trigonus";2115724;"marine";"Byers et al. (2015)";1866
"Bassian";"Pyromaia tuberculata";2226702;"marine";"Byers et al. (2015)";1974
"Bassian";"Eudendrium generale";2266153;"marine";"Byers et al. (2015)";2001
"Bassian";"Astrostole scabra";2274013;"marine";"Byers et al. (2015)";1968
"Cape Howe";"Astrostole scabra";2274013;"marine";"Byers et al. (2015)";1968
"Bassian";"Corbula gibba";2288892;"marine";"Byers et al. (2015)";1986
"Bassian";"Barantolla lepte";2318141;"marine";"Byers et al. (2015)";1997
"Manning-Hawkesbury";"Barantolla lepte";2318141;"marine";"Byers et al. (2015)";1997
"Bassian";"Pseudopolydora paucibranchiata";2320993;"marine";"Byers et al. (2015)";1951
"Bassian";"Sabella spallanzanii";2328603;"marine";"Byers et al. (2015)";1964
"South Australian Gulfs";"Sabella spallanzanii";2328603;"marine";"Byers et al. (2015)";1964
"Bassian";"Euchone limnicola";2328758;"marine";"Byers et al. (2015)";1983
"Cape Howe";"Euchone limnicola";2328758;"marine";"Byers et al. (2015)";1983
"Central and Southern Great Barrier Reef";"Didemnum psammatodes";4356253;"marine";"Byers et al. (2015)";1979
"Torres Strait Northern Great Barrier Reef";"Didemnum psammatodes";4356253;"marine";"Byers et al. (2015)";1979
"Bassian";"Theora lubrica";5189038;"marine";"Byers et al. (2015)";1957
"Bassian";"Ascidiella aspersa";5200467;"marine";"Byers et al. (2015)";1898
"Central and Southern Great Barrier Reef";"Amphibalanus reticulatus";6128436;"marine";"Byers et al. (2015)";1955
"Bassian";"Arcuatula senhousia";6531311;"marine";"Byers et al. (2015)";1923
"South Australian Gulfs";"Arcuatula senhousia";6531311;"marine";"Byers et al. (2015)";1923
"Northern Gulf of Mexico";"Phyllorhiza punctata";2264530;"marine";"CABI ISC";1981
"Carolinian";"Crassostrea virginica";2286079;"marine";"CABI ISC";1870
"Floridian";"Crassostrea virginica";2286079;"marine";"CABI ISC";1870
"Gulf of Maine/Bay of Fundy";"Crassostrea virginica";2286079;"marine";"CABI ISC";1870
"Northern Gulf of Mexico";"Crassostrea virginica";2286079;"marine";"CABI ISC";1870
"Virginian";"Crassostrea virginica";2286079;"marine";"CABI ISC";1870
"Carolinian";"Petricolaria pholadiformis";2287615;"marine";"CABI ISC";1927
"Floridian";"Petricolaria pholadiformis";2287615;"marine";"CABI ISC";1927
"North Sea";"Petricolaria pholadiformis";2287615;"marine";"CABI ISC";1905
"Northern California";"Petricolaria pholadiformis";2287615;"marine";"CABI ISC";1927
"Northern Gulf of Mexico";"Petricolaria pholadiformis";2287615;"marine";"CABI ISC";1927
"Virginian";"Petricolaria pholadiformis";2287615;"marine";"CABI ISC";1927
"Northern California";"Potamocorbula amurensis";2288926;"marine";"CABI ISC";1986
"Celtic Seas";"Styela clava";2331942;"marine";"CABI ISC";1971
"Bahamian";"Pterois volitans";2334438;"marine";"CABI ISC";1996
"Greater Antilles";"Pterois volitans";2334438;"marine";"CABI ISC";2008
"Southwestern Caribbean";"Pterois volitans";2334438;"marine";"CABI ISC";2009
"Hawaii";"Lutjanus kasmira";2385129;"marine";"CABI ISC";1955
"Carolinian";"Sciaenops ocellatus";2400222;"marine";"CABI ISC";1982
"Northern Gulf of Mexico";"Sciaenops ocellatus";2400222;"marine";"CABI ISC";1982
"Virginian";"Sciaenops ocellatus";2400222;"marine";"CABI ISC";1982
"Carolinian";"Alosa aestivalis";2412708;"marine";"CABI ISC";1958
"Virginian";"Alosa aestivalis";2412708;"marine";"CABI ISC";1958
"Carolinian";"Alosa pseudoharengus";2412740;"marine";"CABI ISC";1935
"Gulf of Maine/Bay of Fundy";"Alosa pseudoharengus";2412740;"marine";"CABI ISC";1935
"Virginian";"Alosa pseudoharengus";2412740;"marine";"CABI ISC";1935
"Bonaparte Coast";"Caulerpa taxifolia";2643172;"marine";"CABI ISC";2000
"Central and Southern Great Barrier Reef";"Caulerpa taxifolia";2643172;"marine";"CABI ISC";2000
"Exmouth to Broome";"Caulerpa taxifolia";2643172;"marine";"CABI ISC";2000
"Torres Strait Northern Great Barrier Reef";"Caulerpa taxifolia";2643172;"marine";"CABI ISC";2000
"Tweed-Moreton";"Caulerpa taxifolia";2643172;"marine";"CABI ISC";2000
"Celtic Seas";"Sargassum muticum";3197314;"marine";"CABI ISC";1982
"North American Pacific Fijordland";"Sargassum muticum";3197314;"marine";"CABI ISC";1944
"North Sea";"Sargassum muticum";3197314;"marine";"CABI ISC";1977
"Puget Trough/Georgia Basin";"Sargassum muticum";3197314;"marine";"CABI ISC";1944
"Southern California Bight";"Sargassum muticum";3197314;"marine";"CABI ISC";1973
