"Region";"NewName";"speciesKey";"Realm";"FirstRecord"
"Bassian";"Aetea anguina";1004591;"marine";1887
"Cape Howe";"Aetea anguina";1004591;"marine";1887
"Central and Southern Great Barrier Reef";"Aetea anguina";1004591;"marine";1887
"Leeuwin";"Aetea anguina";1004591;"marine";1887
"Cape Howe";"Celleporaria albirostris";1004640;"marine";1888
"Bassian";"Watersipora subtorquata";1005677;"marine";1975
"Cape Howe";"Watersipora subtorquata";1005677;"marine";1975
"Celtic Seas";"Watersipora subtorquata";1005677;"marine";1983
"Hawaii";"Watersipora subtorquata";1005677;"marine";1966
"Northern California";"Watersipora subtorquata";1005677;"marine";1963
"Southern California Bight";"Watersipora subtorquata";1005677;"marine";1963
"Bassian";"Celleporella hyalina";1005933;"marine";1889
"North Sea";"Biflustra grandicella";1007721;"marine";2016
"Celtic Seas";"Conopeum seurati";1007737;"marine";1994
"North Sea";"Conopeum seurati";1007737;"marine";1994
"Carolinian";"Conopeum tenuissimum";1007741;"marine";1951
"Floridian";"Conopeum tenuissimum";1007741;"marine";1951
"Northern California";"Conopeum tenuissimum";1007741;"marine";1951
"Bassian";"Membranipora membranacea";1007770;"marine";1879
"Gulf of Maine/Bay of Fundy";"Membranipora membranacea";1007770;"marine";1992
"North American Pacific Fijordland";"Membranipora membranacea";1007770;"marine";1992
"Puget Trough/Georgia Basin";"Membranipora membranacea";1007770;"marine";1992
"Bassian";"Cryptosula pallasiana";1008593;"marine";1889
"Central and Southern Great Barrier Reef";"Cryptosula pallasiana";1008593;"marine";1889
"Gulf of Maine/Bay of Fundy";"Cryptosula pallasiana";1008593;"marine";1947
"Northern California";"Cryptosula pallasiana";1008593;"marine";1947
"Puget Trough/Georgia Basin";"Cryptosula pallasiana";1008593;"marine";1947
"Virginian";"Cryptosula pallasiana";1008593;"marine";1947
"Bassian";"Microporella ciliata";1009018;"marine";1879
"Bassian";"Cyclicopora longipora";1009886;"marine";1991
"North Sea";"Schizoporella japonica";1010024;"marine";2010
"Southern Norway";"Schizoporella japonica";1010024;"marine";2010
"Carolinian";"Schizoporella errata";1010034;"marine";2000
"Floridian";"Schizoporella errata";1010034;"marine";2000
"Leeuwin";"Schizoporella errata";1010034;"marine";1959
"Northern California";"Schizoporella errata";1010034;"marine";2000
"Northern Gulf of Mexico";"Schizoporella errata";1010034;"marine";2000
"South Australian Gulfs";"Schizoporella errata";1010034;"marine";1959
"Carolinian";"Schizoporella unicornis";1010076;"marine";1920
"Celtic Seas";"Schizoporella unicornis";1010076;"marine";2000
"Floridian";"Schizoporella unicornis";1010076;"marine";1920
"Gulf of Maine/Bay of Fundy";"Schizoporella unicornis";1010076;"marine";1920
"Leeuwin";"Schizoporella unicornis";1010076;"marine";1926
"North Sea";"Schizoporella unicornis";1010076;"marine";2000
"Northern California";"Schizoporella unicornis";1010076;"marine";1920
"Northern Gulf of Mexico";"Schizoporella unicornis";1010076;"marine";1920
"Puget Trough/Georgia Basin";"Schizoporella unicornis";1010076;"marine";1920
"Virginian";"Schizoporella unicornis";1010076;"marine";1920
"Celtic Seas";"Eusarsiella zostericola";1030608;"marine";1870
"North Sea";"Eusarsiella zostericola";1030608;"marine";1870
"Northern California";"Mytilicola orientalis";2110813;"marine";1933
"Oregon, Washington, Vancouver Coast and Shelf";"Mytilicola orientalis";2110813;"marine";1933
"Puget Trough/Georgia Basin";"Mytilicola orientalis";2110813;"marine";1933
"Northern and Central Red Sea";"Calanopia elliptica";2114201;"marine";1963
"Baltic Sea";"Acartia clausi";2114445;"marine";1981
"North and East Barents Sea";"Acartia clausi";2114445;"marine";1981
"Northern Norway and Finnmark";"Acartia clausi";2114445;"marine";1981
"Baltic Sea";"Acartia tonsa";2114446;"marine";1916
"Celtic Seas";"Acartia tonsa";2114446;"marine";1916
"Gulf of Maine/Bay of Fundy";"Acartia tonsa";2114446;"marine";1952
"North American Pacific Fijordland";"Acartia tonsa";2114446;"marine";1952
"North Sea";"Acartia tonsa";2114446;"marine";1873
"Oregon, Washington, Vancouver Coast and Shelf";"Acartia tonsa";2114446;"marine";1952
"Western Mediterranean";"Acartia tonsa";2114446;"marine";1927
"Baltic Sea";"Verruca stroemia";2115659;"marine";1971
"North Sea";"Verruca stroemia";2115659;"marine";1971
"North Sea";"Balanus tintinnabulum";2115692;"marine";1764
"South European Atlantic Shelf";"Balanus tintinnabulum";2115692;"marine";1970
"Western Mediterranean";"Balanus tintinnabulum";2115692;"marine";1791
"Namaqua";"Balanus glandula";2115706;"marine";1992
"North Sea";"Balanus improvisus";2115717;"marine";1700
"Bassian";"Balanus trigonus";2115724;"marine";1866
"Cape Howe";"Balanus trigonus";2115724;"marine";1866
"Carolinian";"Balanus trigonus";2115724;"marine";1992
"Floridian";"Balanus trigonus";2115724;"marine";1992
"Houtman";"Balanus trigonus";2115724;"marine";1866
"Levantine Sea";"Balanus trigonus";2115724;"marine";1970
"Tweed-Moreton";"Balanus trigonus";2115724;"marine";1866
"Western Bassian";"Balanus trigonus";2115724;"marine";1866
"Floridian";"Balanus amphitrite";2115729;"marine";1938
"Northern Gulf of Mexico";"Balanus amphitrite";2115729;"marine";1938
"Virginian";"Balanus amphitrite";2115729;"marine";1938
"Celtic Seas";"Elminius modestus";2115741;"marine";1940
"North Sea";"Elminius modestus";2115741;"marine";1937
"Celtic Seas";"Austrominius modestus";2115769;"marine";1942
"North Sea";"Austrominius modestus";2115769;"marine";1942
"South European Atlantic Shelf";"Austrominius modestus";2115769;"marine";1950
"Hawaii";"Anoplodactylus marshallensis";2117294;"marine";2000
"Hawaii";"Anoplodactylus arescus";2117304;"marine";1998
"Hawaii";"Anoplodactylus californicus";2117379;"marine";1937
"Hawaii";"Ammothella pacifica";2118205;"marine";1930
"North Sea";"Lepidocyrtus pallidus";2120912;"marine";1896
"Oregon, Washington, Vancouver Coast and Shelf";"Orthione griffenis";2200475;"marine";1985
"Agulhas Bank";"Synidotea hirtipes";2204775;"marine";1897
"Namaqua";"Synidotea hirtipes";2204775;"marine";1897
"Natal";"Synidotea hirtipes";2204775;"marine";1897
"Virginian";"Synidotea laevidorsalis";2204780;"marine";1989
"Northern California";"Iais californica";2211749;"marine";1935
"Cape Howe";"Eurylana arcuata";2213052;"marine";1924
"Manning-Hawkesbury";"Eurylana arcuata";2213052;"marine";1924
"Northern California";"Eurylana arcuata";2213052;"marine";1978
"Hawaii";"Gonodactylaceus falcatus";2214272;"marine";1945
"Northern California";"Nippoleucon hinumensis";2215522;"marine";1976
"Oregon, Washington, Vancouver Coast and Shelf";"Nippoleucon hinumensis";2215522;"marine";1976
"Puget Trough/Georgia Basin";"Nippoleucon hinumensis";2215522;"marine";1976
"South European Atlantic Shelf";"Melita nitida";2215949;"marine";2003
"Hawaii";"Stenothoe valida";2216577;"marine";1924
"Northern California";"Stenothoe valida";2216577;"marine";1941
"Northern Gulf of Mexico";"Stenothoe valida";2216577;"marine";1941
"Baltic Sea";"Corophium volutator";2217320;"marine";1959
"North Sea";"Corophium sextonae";2217322;"marine";1932
"Celtic Seas";"Crassicorophium crassicorne";2217347;"marine";1995
"North Sea";"Crassicorophium crassicorne";2217347;"marine";1995
"Northern California";"Monocorophium uenoi";2217349;"marine";1946
"South European Atlantic Shelf";"Monocorophium uenoi";2217349;"marine";2007
"Southern California Bight";"Monocorophium uenoi";2217349;"marine";1946
"Bassian";"Monocorophium insidiosum";2217353;"marine";1996
"Celtic Seas";"Monocorophium insidiosum";2217353;"marine";1997
"North Sea";"Monocorophium insidiosum";2217353;"marine";1997
"Bassian";"Monocorophium acherusicum";2217354;"marine";1968
"Cape Howe";"Monocorophium acherusicum";2217354;"marine";1968
"Celtic Seas";"Monocorophium acherusicum";2217354;"marine";1956
"Manning-Hawkesbury";"Monocorophium acherusicum";2217354;"marine";1968
"North Sea";"Monocorophium acherusicum";2217354;"marine";1956
"Carolinian";"Apocorophium lacustre";2217361;"marine";1988
"Northern Gulf of Mexico";"Apocorophium lacustre";2217361;"marine";1988
"Virginian";"Apocorophium lacustre";2217361;"marine";1988
"Southern California Bight";"Sinocorophium heteroceratum";2217365;"marine";1986
"Northern California";"Sinocorophium alienense";2217366;"marine";1973
"North Sea";"Platorchestia platensis";2218560;"marine";1860
"Gulf of Maine/Bay of Fundy";"Microdeutopus gryllotalpa";2219061;"marine";1983
"Oregon, Washington, Vancouver Coast and Shelf";"Microdeutopus gryllotalpa";2219061;"marine";1983
"Baltic Sea";"Grandidierella japonica";2219149;"marine";2010
"Bassian";"Grandidierella japonica";2219149;"marine";1965
"Northern California";"Grandidierella japonica";2219149;"marine";1974
"Oregon, Washington, Vancouver Coast and Shelf";"Grandidierella japonica";2219149;"marine";1974
"Puget Trough/Georgia Basin";"Grandidierella japonica";2219149;"marine";1974
"South European Atlantic Shelf";"Grandidierella japonica";2219149;"marine";2010
"Bassian";"Jassa marmorata";2219218;"marine";1878
"North Sea";"Jassa marmorata";2219218;"marine";1999
"Hawaii";"Ericthonius brasiliensis";2219294;"marine";1935
"Gulf of St. Lawrence - Eastern Scotian Shelf";"Gammarus tigrinus";2219863;"marine";2005
"North Sea";"Gammarus tigrinus";2219863;"marine";1931
"Virginian";"Gammarus tigrinus";2219863;"marine";2005
"Baltic Sea";"Echinogammarus ischnus";2219879;"marine";1928
"Gulf of St. Lawrence - Eastern Scotian Shelf";"Echinogammarus ischnus";2219879;"marine";1995
"Celtic Seas";"Neomysis integer";2220407;"marine";1939
"North Sea";"Neomysis integer";2220407;"marine";1939
"North Sea";"Neomysis americana";2220417;"marine";2017
"North Sea";"Cancer pagurus";2222085;"marine";2014
"Northern Norway and Finnmark";"Cancer pagurus";2222085;"marine";2014
"Southern Norway";"Cancer pagurus";2222085;"marine";2014
"North and East Barents Sea";"Crangon crangon";2222188;"marine";2012
"North Sea";"Crangon crangon";2222188;"marine";2012
"Northern Norway and Finnmark";"Crangon crangon";2222188;"marine";2012
"Southern Norway";"Crangon crangon";2222188;"marine";2012
"Floridian";"Petrolisthes armatus";2222709;"marine";1975
"Northern Gulf of Mexico";"Petrolisthes armatus";2222709;"marine";1975
"Levantine Sea";"Sicyonia lancifera";2223215;"marine";2015
"Northern and Central Red Sea";"Penaeus semisulcatus";2223416;"marine";1930
"Celtic Seas";"Marsupenaeus japonicus";2223427;"marine";1900
"Levantine Sea";"Trachysalambria curvirostris";2223511;"marine";1924
"Levantine Sea";"Farfantepenaeus aztecus";2223838;"marine";2009
"Andaman Sea Coral Coast";"Litopenaeus vannamei";2223871;"marine";1998
"Panama Bight";"Litopenaeus vannamei";2223871;"marine";1983
"Panama Bight";"Litopenaeus stylirostris";2223878;"marine";1983
"North Sea";"Lithodes maja";2224343;"marine";1882
"Northern Norway and Finnmark";"Lithodes maja";2224343;"marine";1882
"Southern Norway";"Lithodes maja";2224343;"marine";1882
"Eastern Bering Sea";"Paralithodes camtschaticus";2224359;"marine";1933
"Northern Norway and Finnmark";"Paralithodes camtschaticus";2224359;"marine";1933
"Sea of Okhotsk";"Paralithodes camtschaticus";2224359;"marine";1933
"Southern Norway";"Paralithodes camtschaticus";2224359;"marine";1940
"North Sea";"Palaemon macrodactylus";2224970;"marine";1992
"Northern California";"Palaemon macrodactylus";2224970;"marine";1954
"Oregon, Washington, Vancouver Coast and Shelf";"Palaemon macrodactylus";2224970;"marine";1954
"South European Atlantic Shelf";"Palaemon macrodactylus";2224970;"marine";1997
"Virginian";"Palaemon macrodactylus";2224970;"marine";1954
"Baltic Sea";"Palaemon elegans";2224979;"marine";1939
"Gulf of Maine/Bay of Fundy";"Palaemon elegans";2224979;"marine";2010
"North Sea";"Palaemon elegans";2224979;"marine";1995
"Baltic Sea";"Palaemon adspersus";2225020;"marine";1936
"Northern Norway and Finnmark";"Palaemon adspersus";2225020;"marine";1936
"Levantine Sea";"Charybdis longicollis";2225631;"marine";1954
"Central and Southern Great Barrier Reef";"Charybdis hellerii";2225632;"marine";1923
"North Sea";"Callinectes sapidus";2225646;"marine";1901
"Western Mediterranean";"Callinectes sapidus";2225646;"marine";1901
"North Sea";"Hemigrapsus penicillatus";2225770;"marine";1993
"Gulf of Maine/Bay of Fundy";"Hemigrapsus sanguineus";2225772;"marine";1988
"North Sea";"Hemigrapsus sanguineus";2225772;"marine";1999
"Virginian";"Hemigrapsus sanguineus";2225772;"marine";1988
"Baltic Sea";"Eriocheir sinensis";2225776;"marine";1912
"Celtic Seas";"Eriocheir sinensis";2225776;"marine";1930
"North Sea";"Eriocheir sinensis";2225776;"marine";1894
"Northern California";"Eriocheir sinensis";2225776;"marine";1965
"South European Atlantic Shelf";"Eriocheir sinensis";2225776;"marine";1922
"Aegean Sea";"Percnon gibbesi";2225783;"marine";2004
"Alboran Sea";"Percnon gibbesi";2225783;"marine";1999
"Ionian Sea";"Percnon gibbesi";2225783;"marine";1999
"Western Mediterranean";"Percnon gibbesi";2225783;"marine";1999
"South European Atlantic Shelf";"Brachynotus sexdentatus";2225797;"marine";1997
"Western Mediterranean";"Brachynotus sexdentatus";2225797;"marine";1997
"Northern and Central Red Sea";"Saron marmoratus";2226385;"marine";2013
"Chukchi Sea";"Chionoecetes opilio";2226639;"marine";1996
"East Siberian Sea";"Chionoecetes opilio";2226639;"marine";1996
"Eastern Bering Sea";"Chionoecetes opilio";2226639;"marine";1996
"Kamchatka Shelf and Coast";"Chionoecetes opilio";2226639;"marine";1996
"North and East Barents Sea";"Chionoecetes opilio";2226639;"marine";1925
"Sea of Okhotsk";"Chionoecetes opilio";2226639;"marine";1996
"Bassian";"Pyromaia tuberculata";2226702;"marine";1974
"Central Kuroshio Current";"Pyromaia tuberculata";2226702;"marine";1963
"Manning-Hawkesbury";"Pyromaia tuberculata";2226702;"marine";1974
"North Sea";"Goneplax rhomboides";2227571;"marine";2008
"North Sea";"Pilumnus hirtellus";2227605;"marine";2005
"Baltic Sea";"Rhithropanopeus harrisii";2227663;"marine";1801
"Carolinian";"Rhithropanopeus harrisii";2227663;"marine";1937
"Floridian";"Rhithropanopeus harrisii";2227663;"marine";1937
"Gulf of Maine/Bay of Fundy";"Rhithropanopeus harrisii";2227663;"marine";1937
"North Sea";"Rhithropanopeus harrisii";2227663;"marine";1874
"Northern Gulf of Mexico";"Rhithropanopeus harrisii";2227663;"marine";1937
"South European Atlantic Shelf";"Rhithropanopeus harrisii";2227663;"marine";1950
"Virginian";"Rhithropanopeus harrisii";2227663;"marine";1937
"North Sea";"Lamyctes emarginatus";2230973;"marine";1868
"North Sea";"Stigmatogaster subterranea";2232819;"marine";1801
"Baltic Sea";"Pleopis polyphemoides";2234647;"marine";1957
"Sea of Japan/East Sea";"Pleopis polyphemoides";2234647;"marine";1957
"North and East Barents Sea";"Podon intermedius";2234655;"marine";1985
"Northern Norway and Finnmark";"Podon intermedius";2234655;"marine";1985
"Baltic Sea";"Bosmina coregoni";2234705;"marine";1960
"Northern Norway and Finnmark";"Bosmina coregoni";2234705;"marine";1960
"Celtic Seas";"Penilia avirostris";2234729;"marine";1947
"North Sea";"Penilia avirostris";2234729;"marine";1872
"South European Atlantic Shelf";"Penilia avirostris";2234729;"marine";1959
"Southern Norway";"Penilia avirostris";2234729;"marine";1872
"Western Mediterranean";"Penilia avirostris";2234729;"marine";1959
"Bassian";"Grantessa intusarticulata";2237545;"marine";1925
"Oregon, Washington, Vancouver Coast and Shelf";"Leucosolenia eleanor";2237693;"marine";2012
"Cape Howe";"Dysidea fragilis";2238397;"marine";1889
"Central and Southern Great Barrier Reef";"Dysidea fragilis";2238397;"marine";1889
"Torres Strait Northern Great Barrier Reef";"Dysidea fragilis";2238397;"marine";1889
"Cape Howe";"Dysidea avara";2238461;"marine";1889
"Hawaii";"Gelliodes fibrosa";2245492;"marine";1992
"North Sea";"Chalinula loosanoffi";2246541;"marine";1976
"Cape Howe";"Aplysilla rosea";2248675;"marine";1981
"Floridian";"Halichondria panicea";2249942;"marine";2012
"Gulf of Maine/Bay of Fundy";"Halichondria panicea";2249942;"marine";2012
"Northern California";"Halichondria panicea";2249942;"marine";2012
"Oregon, Washington, Vancouver Coast and Shelf";"Halichondria panicea";2249942;"marine";2012
"Virginian";"Halichondria panicea";2249942;"marine";2012
"Uruguay-Buenos Aires Shelf";"Hymeniacidon perlevis";2250096;"marine";1991
"Hawaii";"Suberites aurantiacus";2251220;"marine";1902
"Namaqua";"Sagartia troglodytes";2257884;"marine";1963
"Celtic Seas";"Diadumene cincta";2257924;"marine";1925
"North Sea";"Diadumene cincta";2257924;"marine";1925
"Northern California";"Diadumene franciscana";2257925;"marine";1940
"Eastern Brazil";"Tubastraea tagusensis";2259547;"marine";1980
"Southeastern Brazil";"Tubastraea tagusensis";2259547;"marine";1980
"Baltic Sea";"Aurelia aurita";2264442;"marine";1999
"Black Sea";"Aurelia aurita";2264442;"marine";1999
"Chukchi Sea";"Aurelia aurita";2264442;"marine";1999
"Eastern Bering Sea";"Aurelia aurita";2264442;"marine";1999
"Kamchatka Shelf and Coast";"Aurelia aurita";2264442;"marine";1999
"Northern Norway and Finnmark";"Aurelia aurita";2264442;"marine";1999
"Sea of Japan/East Sea";"Aurelia aurita";2264442;"marine";1999
"White Sea";"Aurelia aurita";2264442;"marine";1999
"Hawaii";"Phyllorhiza punctata";2264530;"marine";1933
"Northern Gulf of Mexico";"Phyllorhiza punctata";2264530;"marine";1981
"North Sea";"Haliclystus tenuis";2264668;"marine";2010
"North Sea";"Haliclystus salpinx";2264670;"marine";2010
"Eastern Bering Sea";"Proboscidactyla flavicirrata";2265104;"marine";2001
"North American Pacific Fijordland";"Proboscidactyla flavicirrata";2265104;"marine";2001
"Carolinian";"Moerisia lyonsi";2265565;"marine";1967
"Virginian";"Moerisia lyonsi";2265565;"marine";1967
"Gulf of Maine/Bay of Fundy";"Ectopleura crocea";2265658;"marine";1865
"Leeuwin";"Ectopleura crocea";2265658;"marine";1884
"Northern California";"Ectopleura crocea";2265658;"marine";1865
"Oregon, Washington, Vancouver Coast and Shelf";"Ectopleura crocea";2265658;"marine";1865
"Hawaii";"Corydendrium parasiticum";2265999;"marine";2008
"North Sea";"Eudendrium carneum";2266125;"marine";1950
"Bassian";"Eudendrium generale";2266153;"marine";2001
"Cape Howe";"Eudendrium generale";2266153;"marine";2001
"North Sea";"Nemopsis bachei";2266561;"marine";1851
"North Sea";"Gonionemus vertens";2266754;"marine";1867
"Oregon, Washington, Vancouver Coast and Shelf";"Gonionemus vertens";2266754;"marine";1894
"Puget Trough/Georgia Basin";"Gonionemus vertens";2266754;"marine";1894
"Central and Southern Great Barrier Reef";"Plumularia setacea";2266926;"marine";1885
"Bassian";"Plumularia obliqua";2266999;"marine";1884
"Central and Southern Great Barrier Reef";"Plumularia pulchella";2267007;"marine";1927
"Levantine Sea";"Aequorea macrodactyla";2267504;"marine";2013
"Namaqua";"Gonothyraea loveni";2268131;"marine";1946
"Hawaii";"Obelia bidentata";2268145;"marine";1946
"Namaqua";"Obelia geniculata";2268160;"marine";1934
"Cape Howe";"Clytia hemisphaerica";2268193;"marine";1980
"Exmouth to Broome";"Clytia hemisphaerica";2268193;"marine";1980
"Houtman";"Clytia hemisphaerica";2268193;"marine";1980
"Manning-Hawkesbury";"Clytia hemisphaerica";2268193;"marine";1980
"Gulf of Maine/Bay of Fundy";"Laomedea calceolifera";2268350;"marine";2004
"Virginian";"Laomedea calceolifera";2268350;"marine";2004
"Manning-Hawkesbury";"Halecium delicatulum";2268452;"marine";1966
"Western Bassian";"Halecium delicatulum";2268452;"marine";1966
"Bonaparte Coast";"Synthecium campylocarpum";2268660;"marine";1889
"Manning-Hawkesbury";"Synthecium campylocarpum";2268660;"marine";1889
"Virginian";"Blackfordia virginica";2268682;"marine";1970
"Bassian";"Symplectoscyphus subdichotomus";2268711;"marine";1929
"Cape Howe";"Symplectoscyphus subdichotomus";2268711;"marine";1929
"Manning-Hawkesbury";"Symplectoscyphus subdichotomus";2268711;"marine";1929
"Tweed-Moreton";"Symplectoscyphus subdichotomus";2268711;"marine";1929
"Western Bassian";"Symplectoscyphus subdichotomus";2268711;"marine";1929
"South Australian Gulfs";"Symplectoscyphus indivisus";2268775;"marine";2002
"Bassian";"Amphisbetia operculata";2269102;"marine";1884
"Manning-Hawkesbury";"Amphisbetia operculata";2269102;"marine";1884
"Western Bassian";"Amphisbetia operculata";2269102;"marine";1884
"Bassian";"Patiriella regularis";2272283;"marine";1951
"Manning-Hawkesbury";"Patiriella regularis";2272283;"marine";1951
"Western Mediterranean";"Coscinasterias tenuispina";2273832;"marine";2000
"Bassian";"Astrostole scabra";2274013;"marine";1968
"Cape Howe";"Astrostole scabra";2274013;"marine";1968
"Amazonia";"Ophiactis savignyi";2276151;"marine";1875
"Delagoa";"Ophiactis savignyi";2276151;"marine";1950
"Eastern Brazil";"Ophiactis savignyi";2276151;"marine";1875
"Guianan";"Ophiactis savignyi";2276151;"marine";1875
"Hawaii";"Ophiactis savignyi";2276151;"marine";1848
"Levantine Sea";"Ophiactis savignyi";2276151;"marine";1924
"Northeastern Brazil";"Ophiactis savignyi";2276151;"marine";1875
"Sao Pedro and Sao Paulo Islands";"Ophiactis savignyi";2276151;"marine";1875
"Southeastern Brazil";"Ophiactis savignyi";2276151;"marine";1875
"Northern and Central Red Sea";"Pinctada margaritifera";2285337;"marine";1974
"Phoenix/Tokelau/Northern Cook Islands";"Pinctada margaritifera";2285337;"marine";1905
"Southern Cook/Austral Islands";"Pinctada margaritifera";2285337;"marine";1905
"Tonga Islands";"Pinctada margaritifera";2285337;"marine";1974
"Azores Canaries Madeira";"Pinctada imbricata";2285338;"marine";1998
"Northern and Central Red Sea";"Pinctada imbricata";2285338;"marine";1874
"Tunisian Plateau/Gulf of Sidra";"Pinctada imbricata";2285338;"marine";1880
"Eastern Brazil";"Isognomon bicolor";2285357;"marine";1982
"Northeastern Brazil";"Isognomon bicolor";2285357;"marine";1982
"Southeastern Brazil";"Isognomon bicolor";2285357;"marine";1982
"Celtic Seas";"Mytilus galloprovincialis";2285683;"marine";1924
"Central Kuroshio Current";"Mytilus galloprovincialis";2285683;"marine";1926
"East China Sea";"Mytilus galloprovincialis";2285683;"marine";1926
"Namaqua";"Mytilus galloprovincialis";2285683;"marine";1979
"North Sea";"Mytilus galloprovincialis";2285683;"marine";1924
"Northern California";"Mytilus galloprovincialis";2285683;"marine";1948
"Oregon, Washington, Vancouver Coast and Shelf";"Mytilus galloprovincialis";2285683;"marine";1948
"Puget Trough/Georgia Basin";"Mytilus galloprovincialis";2285683;"marine";1948
"South European Atlantic Shelf";"Mytilus galloprovincialis";2285683;"marine";2003
"South Kuroshio";"Mytilus galloprovincialis";2285683;"marine";1926
"Southern California Bight";"Mytilus galloprovincialis";2285683;"marine";1948
"Western Mediterranean";"Mytilus galloprovincialis";2285683;"marine";2003
"Celtic Seas";"Pecten maximus";2285980;"marine";1870
"North Sea";"Pecten maximus";2285980;"marine";1870
"Celtic Seas";"Ostrea edulis";2286060;"marine";1970
"Gulf of Maine/Bay of Fundy";"Ostrea edulis";2286060;"marine";1951
"Levantine Sea";"Ostrea edulis";2286060;"marine";1976
"North Sea";"Ostrea edulis";2286060;"marine";1970
"Northern California";"Ostrea edulis";2286060;"marine";1951
"Oregon, Washington, Vancouver Coast and Shelf";"Ostrea edulis";2286060;"marine";1951
"Puget Trough/Georgia Basin";"Ostrea edulis";2286060;"marine";1951
"South European Atlantic Shelf";"Ostrea edulis";2286060;"marine";1970
"Virginian";"Ostrea edulis";2286060;"marine";1951
"Western Mediterranean";"Ostrea edulis";2286060;"marine";1970
"Carolinian";"Crassostrea virginica";2286079;"marine";1870
"Celtic Seas";"Crassostrea virginica";2286079;"marine";1861
"Floridian";"Crassostrea virginica";2286079;"marine";1870
"Gulf of Maine/Bay of Fundy";"Crassostrea virginica";2286079;"marine";1870
"North Sea";"Crassostrea virginica";2286079;"marine";1861
"Northern California";"Crassostrea virginica";2286079;"marine";1870
"Northern Gulf of Mexico";"Crassostrea virginica";2286079;"marine";1870
"Oregon, Washington, Vancouver Coast and Shelf";"Crassostrea virginica";2286079;"marine";1870
"Puget Trough/Georgia Basin";"Crassostrea virginica";2286079;"marine";1870
"Virginian";"Crassostrea virginica";2286079;"marine";1870
"North Sea";"Mulinia lateralis";2286388;"marine";2017
"North Sea";"Ensis directus";2287249;"marine";1931
"Carolinian";"Petricolaria pholadiformis";2287615;"marine";1927
"Celtic Seas";"Petricolaria pholadiformis";2287615;"marine";1800
"Floridian";"Petricolaria pholadiformis";2287615;"marine";1927
"Gulf of Maine/Bay of Fundy";"Petricolaria pholadiformis";2287615;"marine";1927
"North Sea";"Petricolaria pholadiformis";2287615;"marine";1800
"Northern California";"Petricolaria pholadiformis";2287615;"marine";1927
"Northern Gulf of Mexico";"Petricolaria pholadiformis";2287615;"marine";1927
"South European Atlantic Shelf";"Petricolaria pholadiformis";2287615;"marine";1972
"Virginian";"Petricolaria pholadiformis";2287615;"marine";1927
"Celtic Seas";"Mercenaria mercenaria";2287668;"marine";1861
"North Sea";"Mercenaria mercenaria";2287668;"marine";1827
"Oregon, Washington, Vancouver Coast and Shelf";"Neotrapezium liratum";2287863;"marine";1946
"Puget Trough/Georgia Basin";"Neotrapezium liratum";2287863;"marine";1946
"Agulhas Bank";"Lyrodus pedicellatus";2288831;"marine";1931
"Celtic Seas";"Lyrodus pedicellatus";2288831;"marine";1938
"Floridian";"Lyrodus pedicellatus";2288831;"marine";1871
"Levantine Sea";"Lyrodus pedicellatus";2288831;"marine";1940
"Northern California";"Lyrodus pedicellatus";2288831;"marine";1871
"South European Atlantic Shelf";"Lyrodus pedicellatus";2288831;"marine";2009
"Southern California Bight";"Lyrodus pedicellatus";2288831;"marine";1871
"Hawaii";"Teredo fulleri";2288845;"marine";1935
"Baltic Sea";"Teredo navalis";2288847;"marine";1791
"Carolinian";"Teredo navalis";2288847;"marine";1913
"Celtic Seas";"Teredo navalis";2288847;"marine";1821
"Floridian";"Teredo navalis";2288847;"marine";1913
"Ionian Sea";"Teredo navalis";2288847;"marine";1883
"North Sea";"Teredo navalis";2288847;"marine";1600
"Northern California";"Teredo navalis";2288847;"marine";1913
"Sea of Japan/East Sea";"Teredo navalis";2288847;"marine";1953
"Virginian";"Teredo navalis";2288847;"marine";1913
"North Sea";"Psiloteredo megotara";2288859;"marine";1600
"Bassian";"Corbula gibba";2288892;"marine";1986
"Northern California";"Potamocorbula amurensis";2288926;"marine";1986
"Northern and Central Red Sea";"Octopus cyanea";2289535;"marine";1997
"Northern and Central Red Sea";"Sepia pharaonis";2290722;"marine";2003
"Northern California";"Philine auriformis";2291544;"marine";1992
"Southern California Bight";"Philine auriformis";2291544;"marine";1992
"Agulhas Bank";"Polycera hedgpethi";2291759;"marine";1980
"Hawaii";"Cuthona perca";2292317;"marine";1972
"Virginian";"Cuthona perca";2292317;"marine";1967
"Baltic Sea";"Tenellia adspersa";2292354;"marine";1989
"Celtic Seas";"Haliotis tuberculata";2293076;"marine";1976
"Levantine Sea";"Haliotis tuberculata";2293076;"marine";1995
"North Sea";"Haliotis tuberculata";2293076;"marine";2006
"Celtic Seas";"Calliostoma zizyphinum";2293333;"marine";1957
"North Sea";"Calliostoma zizyphinum";2293333;"marine";1957
"Bassian";"Myosotella myosotis";2297460;"marine";1831
"Gulf of Maine/Bay of Fundy";"Myosotella myosotis";2297460;"marine";1965
"Oregon, Washington, Vancouver Coast and Shelf";"Myosotella myosotis";2297460;"marine";1965
"Puget Trough/Georgia Basin";"Myosotella myosotis";2297460;"marine";1965
"South Australian Gulfs";"Myosotella myosotis";2297460;"marine";1831
"Southern California Bight";"Myosotella myosotis";2297460;"marine";1972
"Floridian";"Littoridinops monroensis";2299954;"marine";1996
"Northern Gulf of Mexico";"Littoridinops monroensis";2299954;"marine";1996
