"";"X";"speciesKey";"scientificName";"matchType";"Orig_name";"nRecords"
"1576";1576;1998104;"Ectobius lapponicus (Linnaeus, 1758)";"EXACT";"Ectobius lapponicus (Linnaeus, 1758)";6375
"1577";1577;1998178;"Ectobius lucidus (Hagenbach, 1822)";"EXACT";"Ectobius lucidus (Hagenbach, 1822)";119
"1578";1578;1998119;"Ectobius pallidus (Olivier, 1789)";"EXACT";"Ectobius pallidus (Olivier, 1789)";2108
"1579";1579;1998169;"Ectobius sylvestris (Poda, 1761)";"EXACT";"Ectobius sylvestris (Poda, 1761)";2076
"1580";1580;5150141;"Epilampra maya Rehn & J.A.G., 1903";"EXACT";"Epilampra maya Rehn & J.A.G., 1903";14
"1581";1581;2000919;"Euthyrrhapha pacifica (Coquebert, 1804)";"EXACT";"Euthyrrhapha pacifica (Coquebert, 1804)";46
"1582";1582;4802838;"Glyptotermes brevicornis Froggatt, 1897";"EXACT";"Glyptotermes brevicornis Froggatt, 1897";169
"1583";1583;2007344;"Incisitermes immigrans (Snyder, 1922)";"EXACT";"Incisitermes immigrans (Snyder, 1922)";10
"1584";1584;2007347;"Incisitermes minor (Hagen, 1858)";"EXACT";"Incisitermes minor (Hagen, 1858)";328
"1585";1585;5151349;"Ischnoptera bilunata Saussure, 1869";"EXACT";"Ischnoptera bilunata Saussure, 1869";62
"1586";1586;5151286;"Ischnoptera nox Hebard, 1920";"EXACT";"Ischnoptera nox Hebard, 1920";3
"1587";1587;4802859;"Kalotermes banksiae Hill, 1942";"EXACT";"Kalotermes banksiae Hill, 1942";100
"1588";1588;1996207;"Loboptera canariensis Chopard, 1954";"EXACT";"Loboptera canariensis Chopard, 1954";42
"1589";1589;1996230;"Loboptera decipiens (Germar, 1817)";"EXACT";"Loboptera decipiens (Germar, 1817)";458
"1590";1590;1999635;"Lobopterella dimidiatipes (Bolívar, 1890)";"EXACT";"Lobopterella dimidiatipes (Bolívar, 1890)";25
"1591";1591;4514014;"Luridiblatta trivittata (Serville, 1838)";"EXACT";"Luridiblatta trivittata (Serville, 1838)";146
"1592";1592;2007328;"Marginitermes hubbardi (Banks, 1920)";"EXACT";"Marginitermes hubbardi (Banks, 1920)";109
"1593";1593;2000642;"Melanozosteria soror (Brunner von Wattenwyl, 1865)";"EXACT";"Melanozosteria soror (Brunner von Wattenwyl, 1865)";45
"1594";1594;5151727;"Myrmecoblatta wheeleri Hebard, 1917";"EXACT";"Myrmecoblatta wheeleri Hebard, 1917";3
"1595";1595;5152434;"Nasutitermes costalis (Holmgren, 1910)";"EXACT";"Nasutitermes costalis (Holmgren, 1910)";31
"1596";1596;1995651;"Nauphoeta cinerea (Olivier, 1789)";"EXACT";"Nauphoeta cinerea (Olivier, 1789)";106
"1597";1597;1996145;"Neoblattella detersa (F.Walker, 1868)";"EXACT";"Neoblattella detersa (F.Walker, 1868)";13
"1598";1598;2000335;"Neostylopyga rhombifolia (Stoll, 1813)";"EXACT";"Neostylopyga rhombifolia (Stoll, 1813)";332
"1599";1599;1998065;"Neotemnopteryx fulva (Saussure, 1863)";"EXACT";"Neotemnopteryx fulva (Saussure, 1863)";75
"1600";1600;9651400;"Neotermes chilensis (Blanchard, 1851)";"EXACT";"Neotermes chilensis (Blanchard, 1851)";6
"1601";1601;2007333;"Neotermes connexus Snyder, 1922";"EXACT";"Neotermes connexus Snyder, 1922";4
"1602";1602;1996306;"Nyctibora brunnea (Thunberg, 1826)";"EXACT";"Nyctibora brunnea (Thunberg, 1826)";14
"1603";1603;1996296;"Nyctibora laevigata (Palisot de Beauvois, 1805)";"EXACT";"Nyctibora laevigata (Palisot de Beauvois, 1805)";8
"1604";1604;1996292;"Nyctibora sericea Burmeister, 1838";"EXACT";"Nyctibora sericea Burmeister, 1838";5
"1605";1605;1994894;"Opisthoplatia orientalis (Burmeister, 1838)";"EXACT";"Opisthoplatia orientalis (Burmeister, 1838)";370
"1606";1606;1995451;"Panchlora exoleta Burmeister, 1838";"EXACT";"Panchlora exoleta Burmeister, 1838";16
"1607";1607;1995432;"Panchlora fraterna Saussure & Zehntner, 1893";"EXACT";"Panchlora fraterna Saussure & Zehntner, 1893";1
"1608";1608;1995489;"Panchlora nivea (Linnaeus, 1758)";"EXACT";"Panchlora nivea (Linnaeus, 1758)";651
"1609";1609;1995454;"Panchlora peruana Saussure, 1864";"EXACT";"Panchlora peruana Saussure, 1864";15
"1610";1610;1995476;"Panchlora viridis (Fabricius, 1775)";"EXACT";"Panchlora viridis (Fabricius, 1775)";5
"1611";1611;1994018;"Panesthia cribrata Saussure, 1864";"EXACT";"Panesthia cribrata Saussure, 1864";162
"1612";1612;1997681;"Paratemnopteryx couloniana (Saussure, 1863)";"EXACT";"Paratemnopteryx couloniana (Saussure, 1863)";50
"1613";1613;2000152;"Periplaneta americana (Linnaeus, 1758)";"EXACT";"Periplaneta americana (Linnaeus, 1758)";6115
"1614";1614;2000204;"Periplaneta australasiae (Fabricius, 1775)";"EXACT";"Periplaneta australasiae (Fabricius, 1775)";1487
"1615";1615;2000161;"Periplaneta brunnea Burmeister, 1838";"EXACT";"Periplaneta brunnea Burmeister, 1838";187
"1616";1616;2000167;"Periplaneta fuliginosa Serville, 1838";"EXACT";"Periplaneta fuliginosa Serville, 1838";1277
"1617";1617;2000149;"Periplaneta japonica Karny, 1908";"EXACT";"Periplaneta japonica Karny, 1908";306
"1618";1618;1995090;"Phoetalia circumvagans (Burmeister, 1838)";"EXACT";"Phoetalia circumvagans (Burmeister, 1838)";4
"1619";1619;1995086;"Phoetalia pallida (Brunner von Wattenwyl, 1865)";"EXACT";"Phoetalia pallida (Brunner von Wattenwyl, 1865)";26
"1620";1620;4802722;"Porotermes adamsoni (Froggatt, 1897)";"EXACT";"Porotermes adamsoni (Froggatt, 1897)";135
"1621";1621;9710254;"Porotermes quadricollis (Rambur, 1842)";"EXACT";"Porotermes quadricollis (Rambur, 1842)";8
"1622";1622;1994783;"Pycnoscelus indicus (Fabricius, 1775)";"EXACT";"Pycnoscelus indicus (Fabricius, 1775)";156
"1623";1623;1994767;"Pycnoscelus surinamensis (Linnaeus, 1758)";"EXACT";"Pycnoscelus surinamensis (Linnaeus, 1758)";2124
"1624";1624;2007366;"Reticulitermes flavipes (Kollar, 1837)";"EXACT";"Reticulitermes flavipes (Kollar, 1837)";1163
"1625";1625;9706848;"Reticulitermes kanmonensis Takematsu, 1999";"EXACT";"Reticulitermes kanmonensis Takematsu, 1999";35
"1626";1626;4514005;"Reticulitermes lucifugus (Rossi, 1792)";"EXACT";"Reticulitermes lucifugus (Rossi, 1792)";33
"1627";1627;4514001;"Reticulitermes urbis Bagnères, Uva & Clément, 2003";"EXACT";"Reticulitermes urbis Bagnères, Uva & Clément, 2003";7
"1628";1628;1995066;"Rhyparobia maderae (Fabricius, 1781)";"EXACT";"Rhyparobia maderae (Fabricius, 1781)";129
"1629";1629;1997264;"Robshelfordia circumducta (F.Walker, 1869)";"EXACT";"Robshelfordia circumducta (F.Walker, 1869)";20
"1630";1630;5151541;"Shelfordella lateralis (F.Walker, 1868)";"EXACT";"Shelfordella lateralis (F.Walker, 1868)";462
"1631";1631;1999602;"Shelfordina orchidae (Asahina, 1985)";"EXACT";"Shelfordina orchidae (Asahina, 1985)";1
"1632";1632;1997400;"Supella longipalpa (Fabricius, 1798)";"EXACT";"Supella longipalpa (Fabricius, 1798)";595
"1633";1633;1997841;"Symploce morsei Hebard, 1916";"EXACT";"Symploce morsei Hebard, 1916";21
"1634";1634;1997787;"Symploce pallens (Stephens, 1835)";"EXACT";"Symploce pallens (Stephens, 1835)";24
"1635";1635;2000951;"Zetha simonyi (Krauss, 1892)";"EXACT";"Zetha simonyi (Krauss, 1892)";1043
"1636";1636;2007393;"Zootermopsis angusticollis (Hagen, 1858)";"EXACT";"Zootermopsis angusticollis (Hagen, 1858)";391
"1637";1637;2007390;"Zootermopsis nevadensis (Hagen, 1874)";"EXACT";"Zootermopsis nevadensis (Hagen, 1874)";253
"1638";1638;5754772;"Abax parallelepipedus (Piller & Mitterpacher, 1783)";"EXACT";"Abax parallelepipedus (Piller & Mitterpacher, 1783)";23707
"1639";1639;1117427;"Acalolepta aesthetica (Olliff, 1890)";"EXACT";"Acalolepta aesthetica (Olliff, 1890)";14
"1640";1640;1047583;"Acalymma vittatum (Fabricius, 1775)";"EXACT";"Acalymma vittatum (Fabricius, 1775)";2860
"1641";1641;1102166;"Acanthocinus carinulatus (Gebler, 1833)";"EXACT";"Acanthocinus carinulatus (Gebler, 1833)";44
"1642";1642;1102084;"Acanthocinus reticulatus (Razoumowsky, 1789)";"EXACT";"Acanthocinus reticulatus (Razoumowsky, 1789)";244
"1643";1643;4449493;"Acanthocnemus nigricans (Hope, 1845)";"EXACT";"Acanthocnemus nigricans (Hope, 1845)";78
"1644";1644;1047530;"Acanthoscelides macrophthalmus (Schaeffer, 1907)";"EXACT";"Acanthoscelides macrophthalmus (Schaeffer, 1907)";78
"1645";1645;1047515;"Acanthoscelides modestus (Sharp, 1885)";"EXACT";"Acanthoscelides modestus (Sharp, 1885)";664
"1646";1646;1047525;"Acanthoscelides obtectus (Say, 1831)";"EXACT";"Acanthoscelides obtectus (Say, 1831)";1724
"1647";1647;4716957;"Acanthoscelides puniceus Johnson";"EXACT";"Acanthoscelides puniceus Johnson";58
"1648";1648;1047487;"Acanthoscelides quadridentatus (Schaeffer, 1907)";"EXACT";"Acanthoscelides quadridentatus (Schaeffer, 1907)";2152
"1649";1649;9240761;"Accanthopus velikensis (Piller & Mitterpacher, 1783)";"EXACT";"Accanthopus velikensis (Piller & Mitterpacher, 1783)";154
"1650";1650;4444221;"Acidota crenata (Fabricius, 1792)";"EXACT";"Acidota crenata (Fabricius, 1792)";2189
"1651";1651;4444228;"Acidota quadrata (Zetterstedt, 1838)";"EXACT";"Acidota quadrata (Zetterstedt, 1838)";1157
"1652";1652;4448454;"Aclypea opaca (Linnaeus, 1758)";"EXACT";"Aclypea opaca (Linnaeus, 1758)";1130
"1653";1653;4994664;"Acoma confusa Van Dyke, 1928";"EXACT";"Acoma confusa Van Dyke, 1928";2
"1654";1654;4433528;"Acritus analis J.L.LeConte, 1853";"EXACT";"Acritus analis J.L.LeConte, 1853";19
"1655";1655;1044956;"Acritus komai Lewis, 1879";"EXACT";"Acritus komai Lewis, 1879";74
"1656";1656;1044952;"Acritus nigricornis (Hoffmann, 1803)";"EXACT";"Acritus nigricornis (Hoffmann, 1803)";748
"1657";1657;1118064;"Acrocinus longimanus (Linnaeus, 1758)";"EXACT";"Acrocinus longimanus (Linnaeus, 1758)";680
"1658";1658;1067377;"Acrossidius tasmaniae (Hope, 1846)";"EXACT";"Acrossidius tasmaniae (Hope, 1846)";538
"1659";1659;6097688;"Acrotona parens (Mulsant & Rey, 1851)";"EXACT";"Acrotona parens (Mulsant & Rey, 1851)";183
"1660";1660;8047391;"Acrotona pseudotenera (Cameron, 1933)";"EXACT";"Acrotona pseudotenera (Cameron, 1933)";133
"1661";1661;1039037;"Acrotrichis africana Johnson, 1969";"EXACT";"Acrotrichis africana Johnson, 1969";12
"1662";1662;4435781;"Acrotrichis cognata (A.Matthews, 1877)";"EXACT";"Acrotrichis cognata (A.Matthews, 1877)";693
"1663";1663;1039036;"Acrotrichis discoloroides Johnson, 1969";"EXACT";"Acrotrichis discoloroides Johnson, 1969";3
"1664";1664;4435758;"Acrotrichis henrici (A.Matthews, 1872)";"EXACT";"Acrotrichis henrici (A.Matthews, 1872)";101
"1665";1665;9877341;"Acrotrichis inconspicua (A.Matthews, 1874)";"EXACT";"Acrotrichis inconspicua (A.Matthews, 1874)";7
"1666";1666;4435859;"Acrotrichis insularis (Mäklin, 1852)";"EXACT";"Acrotrichis insularis (Mäklin, 1852)";1564
"1667";1667;4435760;"Acrotrichis josephi (A.Matthews, 1872)";"EXACT";"Acrotrichis josephi (A.Matthews, 1872)";15
"1668";1668;4435725;"Acrotrichis montandonii (Allibert, 1844)";"EXACT";"Acrotrichis montandonii (Allibert, 1844)";496
"1669";1669;4435724;"Acrotrichis sanctaehelenae Johnson, 1972";"EXACT";"Acrotrichis sanctaehelenae Johnson, 1972";306
"1670";1670;4308846;"Actidium coarctatum (Haliday, 1855)";"EXACT";"Actidium coarctatum (Haliday, 1855)";57
"1671";1671;4989415;"Actidium sharpianum Matthews, 1882";"EXACT";"Actidium sharpianum Matthews, 1882";0
"1672";1672;1037633;"Acupalpus meridianus (Linnaeus, 1760)";"EXACT";"Acupalpus meridianus (Linnaeus, 1760)";3049
"1673";1673;1196459;"Acythopeus gilvonotatus Barber, 1917";"EXACT";"Acythopeus gilvonotatus Barber, 1917";1
"1674";1674;1043097;"Adalia bipunctata (Linnaeus, 1758)";"EXACT";"Adalia bipunctata (Linnaeus, 1758)";55679
"1675";1675;8384085;"Adelina pici (Ardoin, 1977)";"EXACT";"Adelina pici (Ardoin, 1977)";10
"1676";1676;4990337;"Adelina plana (Fabricius, 1801)";"EXACT";"Adelina plana (Fabricius, 1801)";385
"1677";1677;4749279;"Adelotopus macilentus Baehr, 1997";"EXACT";"Adelotopus macilentus Baehr, 1997";26
"1678";1678;4451118;"Adistemia watsoni (Wollaston, 1871)";"EXACT";"Adistemia watsoni (Wollaston, 1871)";48
"1679";1679;5875116;"Adoretus versutus Harold, 1869";"EXACT";"Adoretus versutus Harold, 1869";27
"1680";1680;1075866;"Adoryphorus couloni (Burmeister, 1847)";"EXACT";"Adoryphorus couloni (Burmeister, 1847)";278
"1681";1681;1040288;"Adota maritima (Mannerheim, 1843)";"EXACT";"Adota maritima (Mannerheim, 1843)";72
"1682";1682;1146023;"Aegosoma scabricorne (Scopoli, 1763)";"EXACT";"Aegosoma scabricorne (Scopoli, 1763)";1688
"1683";1683;8168909;"Aegus acuminatus (Fabricius, 1801)";"EXACT";"Aegus acuminatus (Fabricius, 1801)";544
"1684";1684;1044898;"Aeletes basalis (J.L.LeConte, 1851)";"EXACT";"Aeletes basalis (J.L.LeConte, 1851)";20
"1685";1685;1142249;"Aerenea quadriplagiata (Boheman, 1859)";"EXACT";"Aerenea quadriplagiata (Boheman, 1859)";25
"1686";1686;1113283;"Aerenicopsis championi Bates, 1885";"EXACT";"Aerenicopsis championi Bates, 1885";18
"1687";1687;7760044;"Aethina concolor (Macleay, 1872)";"EXACT";"Aethina concolor (Macleay, 1872)";239
"1688";1688;8254044;"Aethina tumida Murray, 1867";"EXACT";"Aethina tumida Murray, 1867";706
"1689";1689;1047377;"Agasicles hygrophila Selman & Vogt, 1971";"EXACT";"Agasicles hygrophila Selman & Vogt, 1971";369
"1690";1690;7372603;"Agelasta perplexa (Pascoe, 1858)";"EXACT";"Agelasta perplexa (Pascoe, 1858)";98
"1691";1691;1047936;"Agelastica alni (Linnaeus, 1758)";"EXACT";"Agelastica alni (Linnaeus, 1758)";11271
"1692";1692;1045944;"Aglenus brunneus (Gyllenhal, 1813)";"EXACT";"Aglenus brunneus (Gyllenhal, 1813)";356
"1693";1693;4447352;"Aglyptinus agathidiodes Blair, 1930";"EXACT";"Aglyptinus agathidiodes Blair, 1930";0
"1694";1694;4988484;"Agonum muelleri (Herbst, 1784)";"EXACT";"Agonum muelleri (Herbst, 1784)";14223
