"";"speciesKey";"scientificName";"matchType";"Orig_name"
"1";"2501066";"Paratenuisentis ambiguus (Van Cleave, 1921)";"EXACT";"Paratenuisentis ambiguus (Van Cleave, 1921)"
"2";"2500461";"Acanthocephalus anguillae (Müller, 1780)";"EXACT";"Acanthocephalus anguillae (Müller, 1780)"
"3";"4411080";"Erpobdella testacea (Savigny, 1822)";"EXACT";"Erpobdella testacea (Savigny, 1822)"
"4";"2308887";"Hirudo medicinalis Linnaeus, 1758";"EXACT";"Hirudo medicinalis Linnaeus, 1758"
"5";"10490144";"Limnatis nilotica Savigny, 1822";"EXACT";"Limnatis nilotica Savigny, 1822"
"6";"4411124";"Trocheta cylindrica Orley, 1886";"EXACT";"Trocheta cylindrica Orley, 1886"
"7";"4411119";"Trocheta pseudodina Nesemann, 1990";"EXACT";"Trocheta pseudodina Nesemann, 1990"
"8";"8256670";"Cambarincola mesochoreus Hoffman, 1963";"EXACT";"Cambarincola mesochoreus Hoffman, 1963"
"9";"8274448";"Cambarincola pamelae Holt, 1984";"EXACT";"Cambarincola pamelae Holt, 1984"
"10";"7849089";"Xironogiton instabilius (Moore, 1894)";"EXACT";"Xironogiton instabilius (Moore, 1894)"
"11";"2307544";"Xironogiton victoriensis Gelder & Hall, 1990";"EXACT";"Xironogiton victoriensis Gelder & Hall, 1990"
"12";"4410938";"Allolobophora chlorotica (Savigny, 1826)";"EXACT";"Allolobophora chlorotica (Savigny, 1826)"
"13";"8784979";"Allolobophora georgii Michaelsen, 1890";"EXACT";"Allolobophora georgii Michaelsen, 1890"
"14";"9171774";"Allolobophora longa Ude, 1885";"EXACT";"Allolobophora longa Ude, 1885"
"15";"9672769";"Allolobophora muldali Omodeo, 1956";"EXACT";"Allolobophora muldali Omodeo, 1956"
"16";"8941475";"Allolobophora parva Eisen, 1874";"EXACT";"Allolobophora parva Eisen, 1874"
"17";"8950917";"Allolobophora smaragdina Rosa, 1892";"EXACT";"Allolobophora smaragdina Rosa, 1892"
"18";"8963389";"Allolobophora subrubicunda Eisen, 1874";"EXACT";"Allolobophora subrubicunda Eisen, 1874"
"19";"9027202";"Allolobophora transpadana Rosa, 1884";"EXACT";"Allolobophora transpadana Rosa, 1884"
"20";"8772214";"Allolobophora veneta Rosa, 1886";"EXACT";"Allolobophora veneta Rosa, 1886"
"21";"4410889";"Allolobophoridella eiseni (Levinsen, 1884)";"EXACT";"Allolobophoridella eiseni (Levinsen, 1884)"
"22";"2307759";"Aporrectodea caliginosa (Savigny, 1826)";"EXACT";"Aporrectodea caliginosa (Savigny, 1826)"
"23";"2307759";"Aporrectodea caliginosa caliginosa";"EXACT";"Aporrectodea caliginosa caliginosa"
"24";"4410778";"Aporrectodea limicola (Michaelsen, 1890)";"EXACT";"Aporrectodea limicola (Michaelsen, 1890)"
"25";"2307760";"Aporrectodea rosea (Savigny, 1826)";"EXACT";"Aporrectodea rosea (Savigny, 1826)"
"26";"2307758";"Aporrectodea trapezoides (Dugés, 1828)";"EXACT";"Aporrectodea trapezoides (Dugés, 1828)"
"27";"6135528";"Bimastos parvus (Eisen, 1874)";"EXACT";"Bimastos parvus (Eisen, 1874)"
"28";"9675087";"Bimastos rubidus (Savigny, 1826)";"EXACT";"Bimastos rubidus (Savigny, 1826)"
"29";"8290434";"Dendrobaena attemsi (Michaelsen, 1902)";"EXACT";"Dendrobaena attemsi (Michaelsen, 1902)"
"30";"7725323";"Dendrobaena hortensis (Michaelsen, 1890)";"EXACT";"Dendrobaena hortensis (Michaelsen, 1890)"
"31";"8751940";"Dendrobaena lusitana Graff, 1957";"EXACT";"Dendrobaena lusitana Graff, 1957"
"32";"7772922";"Dendrobaena octaedra (Savigny, 1826)";"EXACT";"Dendrobaena octaedra (Savigny, 1826)"
