"";"speciesKey";"scientificName";"matchType";"Orig_name";"nRecords"
"19602";"2703980";"Muhlenbergia emersleyi Vasey";"EXACT";"Muhlenbergia emersleyi Vasey";0
"19603";"4105224";"Muhlenbergia expansa Trin.";"EXACT";"Muhlenbergia expansa Trin.";0
"19604";"2703943";"Muhlenbergia filiformis Rydb.";"EXACT";"Muhlenbergia filiformis Rydb.";0
"19605";"2704053";"Muhlenbergia fragilis Swallen";"EXACT";"Muhlenbergia fragilis Swallen";0
"19606";"2704029";"Muhlenbergia frondosa (Poir.) Fernald";"EXACT";"Muhlenbergia frondosa (Poir.) Fernald";0
"19607";"4108630";"Muhlenbergia glabrifloris Scribn.";"EXACT";"Muhlenbergia glabrifloris Scribn.";0
"19608";"4119711";"Muhlenbergia implicata Trin.";"EXACT";"Muhlenbergia implicata Trin.";0
"19609";"2703985";"Muhlenbergia lindheimeri Hitchc.";"EXACT";"Muhlenbergia lindheimeri Hitchc.";0
"19610";"2703962";"Muhlenbergia macroura Hitchc.";"EXACT";"Muhlenbergia macroura Hitchc.";0
"19611";"2704038";"Muhlenbergia mexicana Trin.";"EXACT";"Muhlenbergia mexicana Trin.";0
"19612";"8071042";"Muhlenbergia microsperma (DC.) Kunth";"EXACT";"Muhlenbergia microsperma (DC.) Kunth";0
"19613";"2704022";"Muhlenbergia minutissima (Steud.) Swallen";"EXACT";"Muhlenbergia minutissima (Steud.) Swallen";0
"19614";"4119274";"Muhlenbergia multiflora Columbus";"EXACT";"Muhlenbergia multiflora Columbus";0
"19615";"2703960";"Muhlenbergia palmeri Vasey";"EXACT";"Muhlenbergia palmeri Vasey";0
"19616";"7474091";"Muhlenbergia paniculata (Nutt.) P.M.Peterson";"EXACT";"Muhlenbergia paniculata (Nutt.) P.M.Peterson";0
"19617";"2703940";"Muhlenbergia peruviana Steud.";"EXACT";"Muhlenbergia peruviana Steud.";0
"19618";"4118985";"Muhlenbergia plumbea Hitchc.";"EXACT";"Muhlenbergia plumbea Hitchc.";0
"19619";"4118885";"Muhlenbergia pubescens (Kunth) Hitchcock";"EXACT";"Muhlenbergia pubescens (Kunth) Hitchcock";0
"19620";"2703956";"Muhlenbergia racemosa Britton, Sterns & Poggenb.";"EXACT";"Muhlenbergia racemosa Britton, Sterns & Poggenb.";0
"19621";"2703994";"Muhlenbergia ramulosa (Kunth) Swallen";"EXACT";"Muhlenbergia ramulosa (Kunth) Swallen";0
"19622";"2704058";"Muhlenbergia repens Hitchc.";"EXACT";"Muhlenbergia repens Hitchc.";0
"19623";"2704019";"Muhlenbergia rigida (Kunth) Kunth";"EXACT";"Muhlenbergia rigida (Kunth) Kunth";0
"19624";"2704002";"Muhlenbergia schreberi J.F.Gmel.";"EXACT";"Muhlenbergia schreberi J.F.Gmel.";0
"19625";"2704046";"Muhlenbergia sylvatica Torr.";"EXACT";"Muhlenbergia sylvatica Torr.";0
"19626";"2704012";"Muhlenbergia tenuifolia (Kunth) Kunth";"EXACT";"Muhlenbergia tenuifolia (Kunth) Kunth";0
"19627";"2703970";"Muhlenbergia uniflora Fernald";"EXACT";"Muhlenbergia uniflora Fernald";0
"19628";"9465774";"Munroa pulchella (Kunth) Amarilla";"EXACT";"Munroa pulchella (Kunth) Amarilla";0
"19629";"4118066";"Munroa squarrosa Torr.";"EXACT";"Munroa squarrosa Torr.";0
"19630";"2702717";"Nardus stricta L.";"EXACT";"Nardus stricta L.";0
"19631";"5289832";"Nassella cernua (Stebbins & Love) Barkworth";"EXACT";"Nassella cernua (Stebbins & Love) Barkworth";0
"19632";"5674177";"Nassella charruana (Arechav.) Barkworth";"EXACT";"Nassella charruana (Arechav.) Barkworth";0
"19633";"5289835";"Nassella chilensis E.Desv.";"EXACT";"Nassella chilensis E.Desv.";0
"19634";"5674110";"Nassella filiculmis (Delile) Barkworth";"EXACT";"Nassella filiculmis (Delile) Barkworth";0
"19635";"5289836";"Nassella formicarum (Delile) Barkworth";"EXACT";"Nassella formicarum (Delile) Barkworth";0
"19636";"5674047";"Nassella hyalina (Nees) Barkworth";"EXACT";"Nassella hyalina (Nees) Barkworth";0
"19637";"5289834";"Nassella leucotricha (Trin. & Rupr.) R.W.Pohl";"EXACT";"Nassella leucotricha (Trin. & Rupr.) R.W.Pohl";0
"19638";"5679380";"Nassella manicata (Desv.) Barkworth";"EXACT";"Nassella manicata (Desv.) Barkworth";0
"19639";"5679381";"Nassella megapotamia (Spreng. ex Trin.) Barkworth";"EXACT";"Nassella megapotamia (Spreng. ex Trin.) Barkworth";0
"19640";"5679387";"Nassella mucronata (Kunth) R.W.Pohl";"EXACT";"Nassella mucronata (Kunth) R.W.Pohl";0
"19641";"5289831";"Nassella neesiana (Trin. & Ruprecht) Barkworth";"EXACT";"Nassella neesiana (Trin. & Ruprecht) Barkworth";0
"19642";"5679401";"Nassella poeppigiana (Trin. & Rupr.) Barkworth";"EXACT";"Nassella poeppigiana (Trin. & Rupr.) Barkworth";0
"19643";"5289833";"Nassella tenuissima (Trin.) Barkworth";"EXACT";"Nassella tenuissima (Trin.) Barkworth";0
"19644";"9613389";"Nassella trichotoma (Nees) Hack. ex Arechav.";"EXACT";"Nassella trichotoma (Nees) Hack. ex Arechav.";0
"19645";"5289830";"Nassella viridula (Trin.) Barkworth";"EXACT";"Nassella viridula (Trin.) Barkworth";0
"19646";"4146270";"Neololeba atra (Lindl.) Widjaja";"EXACT";"Neololeba atra (Lindl.) Widjaja";0
"19647";"2694159";"Neoregelia carolinae (Beer) L.B.Sm.";"EXACT";"Neoregelia carolinae (Beer) L.B.Sm.";0
"19648";"2705687";"Neyraudia reynaudiana (Kunth) Keng ex Hitchcock";"EXACT";"Neyraudia reynaudiana (Kunth) Keng ex Hitchcock";0
"19649";"2696031";"Ochagavia carnea (Beer) L.B.Sm. & Looser";"EXACT";"Ochagavia carnea (Beer) L.B.Sm. & Looser";0
"19650";"4112347";"Ochlandra travancorica Gamble";"EXACT";"Ochlandra travancorica Gamble";0
"19651";"5290105";"Olyra latifolia L.";"EXACT";"Olyra latifolia L.";0
"19652";"4144505";"Ophiuros exaltatus (L.) Kuntze";"EXACT";"Ophiuros exaltatus (L.) Kuntze";0
"19653";"2705738";"Oplismenus burmanni P.Beauv.";"EXACT";"Oplismenus burmanni P.Beauv.";0
"19654";"2705733";"Oplismenus compositus P.Beauv.";"EXACT";"Oplismenus compositus P.Beauv.";0
"19655";"2705737";"Oplismenus hirtellus (L.) P.Beauv.";"EXACT";"Oplismenus hirtellus (L.) P.Beauv.";0
"19656";"2705735";"Oplismenus undulatifolius (Ard.) Roemer & Schultes";"EXACT";"Oplismenus undulatifolius (Ard.) Roemer & Schultes";0
"19657";"4142653";"Oropetium thomaeum Trin.";"EXACT";"Oropetium thomaeum Trin.";0
"19658";"4110400";"Orthoraphium coreanum (Honda) Ohwi";"EXACT";"Orthoraphium coreanum (Honda) Ohwi";0
"19659";"2703457";"Oryza barthii A.Chev.";"EXACT";"Oryza barthii A.Chev.";0
"19660";"2703464";"Oryza glaberrima Steud.";"EXACT";"Oryza glaberrima Steud.";0
"19661";"2703456";"Oryza latifolia Desv.";"EXACT";"Oryza latifolia Desv.";0
"19662";"2703462";"Oryza longistaminata A.Chev. & Roehrich";"EXACT";"Oryza longistaminata A.Chev. & Roehrich";0
"19663";"2703461";"Oryza punctata Kotschy ex Steud.";"EXACT";"Oryza punctata Kotschy ex Steud.";0
"19664";"2703463";"Oryza rufipogon Griff.";"EXACT";"Oryza rufipogon Griff.";0
"19665";"2703459";"Oryza sativa L.";"EXACT";"Oryza sativa L.";0
"19666";"4105416";"Ottochloa nodosa (Kunth) Dandy";"EXACT";"Ottochloa nodosa (Kunth) Dandy";0
"19667";"4108297";"Oxychloris scariosa (F.Muell.) Lazarides";"EXACT";"Oxychloris scariosa (F.Muell.) Lazarides";0
"19668";"2703308";"Oxytenanthera abyssinica Munro";"EXACT";"Oxytenanthera abyssinica Munro";0
"19669";"2702646";"Panicum aciculare Desv.";"EXACT";"Panicum aciculare Desv.";0
"19670";"7985821";"Panicum acuminatum Sw.";"EXACT";"Panicum acuminatum Sw.";0
"19671";"2705089";"Panicum amarum Elliott";"EXACT";"Panicum amarum Elliott";0
"19672";"2705141";"Panicum antidotale Retz.";"EXACT";"Panicum antidotale Retz.";0
"19673";"2703629";"Panicum aquaticum Poir.";"EXACT";"Panicum aquaticum Poir.";0
"19674";"2705145";"Panicum bergii Arechav.";"EXACT";"Panicum bergii Arechav.";0
"19675";"2705119";"Panicum bisulcatum Thunb.";"EXACT";"Panicum bisulcatum Thunb.";0
"19676";"2705125";"Panicum brachyanthum Steud.";"EXACT";"Panicum brachyanthum Steud.";0
"19677";"4153922";"Panicum brevifolium L.";"EXACT";"Panicum brevifolium L.";0
"19678";"2705106";"Panicum bulbosum Kunth";"EXACT";"Panicum bulbosum Kunth";0
"19679";"4153641";"Panicum buncei F.Muell. ex Benth.";"EXACT";"Panicum buncei F.Muell. ex Benth.";0
"19680";"2705162";"Panicum capillare L.";"EXACT";"Panicum capillare L.";0
"19681";"2705162";"Panicum capillare var. capillare";"EXACT";"Panicum capillare var. capillare";0
"19682";"2702544";"Panicum clandestinum L.";"EXACT";"Panicum clandestinum L.";0
"19683";"2705092";"Panicum coloratum L.";"EXACT";"Panicum coloratum L.";0
"19684";"4149225";"Panicum decolorans Kunth";"EXACT";"Panicum decolorans Kunth";0
"19685";"4113402";"Panicum decompositum R.Br.";"EXACT";"Panicum decompositum R.Br.";0
"19686";"4148783";"Panicum deustum Thunb.";"EXACT";"Panicum deustum Thunb.";0
"19687";"2705144";"Panicum dichotomiflorum Michx.";"EXACT";"Panicum dichotomiflorum Michx.";0
"19688";"2705144";"Panicum dichotomiflorum subsp. dichotomiflorum";"EXACT";"Panicum dichotomiflorum subsp. dichotomiflorum";0
"19689";"4148267";"Panicum dichotomum L.";"EXACT";"Panicum dichotomum L.";0
"19690";"4146711";"Panicum ensifolium Baldwin ex Elliott";"EXACT";"Panicum ensifolium Baldwin ex Elliott";0
"19691";"2705115";"Panicum ghiesbreghtii E.Fourn. & E.Fourn.";"EXACT";"Panicum ghiesbreghtii E.Fourn. & E.Fourn.";0
"19692";"4144312";"Panicum gilvum Launert";"EXACT";"Panicum gilvum Launert";0
"19693";"2704647";"Panicum gymnocarpon Elliott";"EXACT";"Panicum gymnocarpon Elliott";0
"19694";"2705116";"Panicum hallii Vasey";"EXACT";"Panicum hallii Vasey";0
"19695";"2705098";"Panicum hillmanii Chase";"EXACT";"Panicum hillmanii Chase";0
"19696";"4142645";"Panicum hippothrix K.Schum. ex Engl.";"EXACT";"Panicum hippothrix K.Schum. ex Engl.";0
"19697";"2705066";"Panicum hirticaule J.Presl";"EXACT";"Panicum hirticaule J.Presl";0
"19698";"4141722";"Panicum humile Nees ex Steud.";"EXACT";"Panicum humile Nees ex Steud.";0
"19699";"4111654";"Panicum hygrocharis Steud.";"EXACT";"Panicum hygrocharis Steud.";0
"19700";"4116709";"Panicum laevinode Lindl.";"EXACT";"Panicum laevinode Lindl.";0
"19701";"2702598";"Panicum laxiflorum Lam.";"EXACT";"Panicum laxiflorum Lam.";0
"19702";"4138021";"Panicum lepidulum Hitchcock & Chase";"EXACT";"Panicum lepidulum Hitchcock & Chase";0
"19703";"2702601";"Panicum malacophyllum Nash";"EXACT";"Panicum malacophyllum Nash";0
"19704";"2705868";"Panicum maximum Jacq.";"EXACT";"Panicum maximum Jacq.";0
"19705";"4135162";"Panicum mertensii Roth";"EXACT";"Panicum mertensii Roth";0
"19706";"4135055";"Panicum micranthum Kunth";"EXACT";"Panicum micranthum Kunth";0
"19707";"2705090";"Panicum miliaceum L.";"EXACT";"Panicum miliaceum L.";0
"19708";"2705090";"Panicum miliaceum subsp. miliaceum";"EXACT";"Panicum miliaceum subsp. miliaceum";0
"19709";"4132719";"Panicum novemnerve Stapf";"EXACT";"Panicum novemnerve Stapf";0
"19710";"4132433";"Panicum obseptum Trin.";"EXACT";"Panicum obseptum Trin.";0
